OBJECTID,FacilityID,FeederID,OperatingV,Constructi,Installati,NominalVol,BallastTyp,Ownership,SupportStr,CONSTRUC_1,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
44,28L14,RMT001,160,5,168393600000,120,,Util,5156,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78569432,-88.15068589
45,L1,RMT001,160,5,168393600000,120,,Util,5159,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78568251,-88.1499634
46,L9,RMT001,160,5,168393600000,120,,Util,5160,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78584511,-88.14990581
47,33T1L2,RMT001,160,5,168393600000,120,,Util,5161,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78567682,-88.14975159
48,5H-L1,RMT001,160,5,1403481600000,120,,Util,5083,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78583944,-88.14913437
49,L3,RMT001,160,5,168393600000,120,,Util,5162,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78565529,-88.14916189
50,L8,RMT001,160,5,168393600000,120,,Util,5163,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78582955,-88.14871513
51,L7,RMT001,160,5,168393600000,120,,Util,5164,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78582278,-88.14845239
52,L4,RMT001,160,5,168393600000,120,,Util,5167,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78565527,-88.1484244
53,L6,RMT001,160,5,168393600000,120,,Util,5165,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78581439,-88.14803253
54,L5,RMT001,160,5,168393600000,120,,Util,5166,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78564444,-88.14802065
55,J1L8,RMT001,160,5,168393600000,120,,Util,5131,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78635688,-88.14741423
56,J1L7,RMT001,160,5,168393600000,120,,Util,5130,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78654468,-88.14741779
57,J1L2,RMT001,160,5,168393600000,120,,Util,5129,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78678386,-88.14715578
58,J1L1,RMT001,160,5,168393600000,120,,Util,4854,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78686447,-88.14742626
59,J1L3,RMT001,160,5,168393600000,120,,Util,5132,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78710703,-88.1471597
60,J1L4,RMT001,160,5,168393600000,120,,Util,5133,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78747829,-88.14703507
61,J1L5,RMT001,160,5,168393600000,120,,Util,5134,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78767219,-88.14729879
62,J1L6,RMT001,160,5,168393600000,120,,Util,5135,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78804538,-88.14726184
63,J1L7,RMT001,160,5,168393600000,120,,Util,5136,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78812532,-88.14702188
64,L4,RMT001,160,5,168393600000,120,,Util,5118,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78188377,-88.14882651
65,3-4L1,RMT001,160,5,168393600000,120,,Util,5021,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78041639,-88.15087208
66,3-4L2,RMT001,160,5,168393600000,120,,Util,5026,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78076232,-88.15013734
67,3-4L3,RMT001,160,5,168393600000,120,,Util,5027,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78040529,-88.15162153
68,T2L3,RMT001,380,5,266889600000,120,,Util,5144,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78612794,-88.15542987
69,T2L2,RMT001,380,5,266889600000,120,,Util,5143,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78659358,-88.15542395
70,T2L1,RMT001,380,5,266889600000,120,,Util,5142,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78659593,-88.1549895
71,L1,RMT001,160,5,168393600000,120,,Util,5119,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78425625,-88.14805378
72,L2,RMT001,160,5,168393600000,120,,Util,5120,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78425179,-88.14752523
73,L3,RMT001,160,5,168393600000,120,,Util,5122,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78421981,-88.14726552
74,L4,RMT001,160,5,168393600000,120,,Util,5121,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78436698,-88.14725025
75,L5,RMT001,160,5,168393600000,120,,Util,5123,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78466125,-88.14725947
76,L6,RMT001,160,5,168393600000,120,,Util,5124,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78406392,-88.14877232
77,L7,RMT001,160,5,168393600000,120,,Util,5125,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78374404,-88.14862899
78,J1L9,RMT001,160,5,168393600000,120,,Util,5126,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78705218,-88.14833863
79,J1L10,RMT001,160,5,168393600000,120,,Util,5127,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78735212,-88.14836456
80,L2,RMT001,160,5,168393600000,120,,Util,5140,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.7881236,-88.14548423
81,L3,RMT001,160,5,168393600000,120,,Util,5139,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78812955,-88.1449019
82,L4,RMT001,160,5,168393600000,120,,Util,5138,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78812917,-88.14423871
83,L5,RMT001,160,5,168393600000,120,,Util,5137,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78812176,-88.14356772
84,L1,RMT001,160,5,168393600000,120,,Util,5141,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78813188,-88.14633407
85,L1,RMT001,160,5,168393600000,120,,Util,5170,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78202319,-88.14813967
86,L2,RMT001,160,5,168393600000,120,,Util,5169,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78202149,-88.14761933
87,L3,RMT001,160,5,168393600000,120,,Util,5171,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78220304,-88.14733591
88,L2,RMT003,380,5,168393600000,120,,Util,5173,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.79712057,-88.15796426
89,L1,RMT003,380,5,168393600000,120,,Util,5172,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.79732876,-88.15735624
90,13L3,RMT001,160,5,168393600000,120,,Util,5177,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78831061,-88.14729282
91,13L2,RMT001,160,5,168393600000,120,,Util,5176,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78875836,-88.14726053
92,13L1,RMT001,160,5,168393600000,120,,Util,5175,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.78915556,-88.14724116
93,L16,RMT002,380,5,935020800000,120,,Util,6013,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77205354,-88.16894201
94,L15,RMT002,150,5,935020800000,120,,Util,6014,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77213565,-88.16945256
95,L6,RMT002,150,5,935020800000,120,,Util,5255,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77199926,-88.17132432
96,P8L1,RMT002,380,5,935020800000,120,,Util,7136,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77760378,-88.17730278
97,P10L1,RMT002,380,5,935020800000,120,,Util,6017,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77688727,-88.17668942
98,P12L1,RMT002,380,5,935020800000,120,,Util,6019,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.7761886,-88.17606313
99,P13-1L1,RMT002,380,5,935020800000,120,,Util,5257,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77590041,-88.17560675
100,P15L1,RMT002,380,5,935020800000,120,,Util,7132,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77516582,-88.1755196
101,P15L1,RMT002,380,5,935020800000,120,,Util,5258,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77525514,-88.1753634
102,L16,RMT002,380,5,935020800000,120,,Util,7133,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77472785,-88.17545198
103,L1,RMT002,380,5,935020800000,120,,Util,6041,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77415437,-88.17540475
104,P18L1,RMT002,150,5,935020800000,120,,Util,5259,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77359212,-88.17514709
105,P19L1,RMT002,380,5,935020800000,120,,Util,6688,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77327249,-88.17531489
106,P20L1,RMT002,150,5,935020800000,120,,Util,5260,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77279974,-88.17508029
107,P21L1,RMT002,380,5,935020800000,120,,Util,6024,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77248721,-88.17528324
108,P23L1,RMT002,380,5,935020800000,120,,Util,6026,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77152633,-88.17530249
109,L2,RMT002,150,5,935020800000,120,,Util,6692,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.76891175,-88.17463138
110,P32L1,RMT002,380,5,935020800000,120,,Util,6037,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.76781074,-88.17485439
111,P34L1,RMT002,380,5,935020800000,120,,Util,6039,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.76719424,-88.17458533
112,P22L1,RMT002,150,5,935020800000,120,,Util,5261,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77212977,-88.17502209
113,L18,RMT002,150,5,935020800000,120,,Util,6693,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77166883,-88.17585558
114,L17,RMT002,380,5,935020800000,120,,Util,6694,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77143175,-88.17754806
115,L13,RMT002,150,5,935020800000,120,,Util,6695,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77152553,-88.17857667
116,L3,RMT002,380,5,935020800000,120,,Util,6696,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.76740946,-88.17642067
117,P1L1,RMT002,380,5,935020800000,120,,Util,6697,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.76837656,-88.1763337
118,L2,RMT002,380,5,935020800000,120,,Util,6698,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.76807767,-88.17622286
119,L8,RMT002,380,5,935020800000,120,,Util,6699,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.76644969,-88.17994064
120,L7,RMT002,380,5,935020800000,120,,Util,6700,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.76664078,-88.17928187
121,L6,RMT002,380,5,935020800000,120,,Util,6701,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.7662441,-88.1817628
122,L9,RMT002,380,5,935020800000,120,,Util,6702,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.76645403,-88.18041004
123,L31,RMT002,380,5,935020800000,120,,Util,5986,Overhead,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77877692,-88.17797353
124,P1L1,RMT002,150,5,935020800000,120,,Util,5263,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77643905,-88.17594461
125,L1,RMT002,150,5,935020800000,120,,Util,5326,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77418727,-88.17469218
126,L2,RMT002,150,5,935020800000,120,,Util,5327,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77428318,-88.17399257
127,L3,RMT002,150,5,935020800000,120,,Util,5328,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77462939,-88.1734086
128,L4,RMT002,150,5,935020800000,120,,Util,5329,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.7746858,-88.17263567
129,L5,RMT002,150,5,935020800000,120,,Util,5330,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77484882,-88.17205164
130,L6,RMT002,150,5,935020800000,120,,Util,5331,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77479713,-88.17147535
131,L4,RMT002,150,5,935020800000,120,,Util,5318,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77481743,-88.17431352
132,L3,RMT002,150,5,935020800000,120,,Util,5317,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77559145,-88.17440953
133,L1,RMT002,150,5,935020800000,120,,Util,5315,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77679311,-88.17486879
134,L2,RMT002,150,5,935020800000,120,,Util,5316,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77644674,-88.17456521
135,L2,RMT002,380,5,935020800000,120,,Util,5309,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77654031,-88.17548563
136,L3,RMT002,380,5,935020800000,120,,Util,5310,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77705066,-88.17447609
137,L4,RMT002,380,5,935020800000,120,,Util,5311,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77728784,-88.1738793
138,L5,RMT002,380,5,935020800000,120,,Util,5312,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77760896,-88.17334148
139,L6,RMT002,380,5,935020800000,120,,Util,5313,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77775953,-88.17176374
140,L1,RMT002,380,5,935020800000,120,,Util,5314,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77704828,-88.17021936
141,L1,RMT002,150,5,935020800000,120,,Util,5306,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77731373,-88.17682799
142,L3,RMT002,150,5,935020800000,120,,Util,5308,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77797089,-88.17524808
143,L2,RMT002,150,5,935020800000,120,,Util,5307,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77771054,-88.17581784
144,L4,RMT002,150,5,935020800000,120,,Util,5305,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77813543,-88.17482914
145,L1,RMT002,150,5,935020800000,120,,Util,5324,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77563045,-88.17359552
146,L3,RMT002,150,5,935020800000,120,,Util,5325,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77571085,-88.17241993
147,L2,RMT002,150,5,935020800000,120,,Util,5323,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.7755426,-88.17309399
148,L4,RMT002,150,5,935020800000,120,,Util,5322,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77566058,-88.17180483
149,L5,RMT002,150,5,935020800000,120,,Util,5321,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77599694,-88.17124607
150,L2,RMT002,150,5,935020800000,120,,Util,5320,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77611241,-88.17064357
151,L1,RMT002,150,5,935020800000,120,,Util,5319,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.7764715,-88.17342996
152,P1L1,RMT002,150,5,935020800000,120,,Util,29100,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77679204,-88.17213639
153,L7,RMT002,150,5,935020800000,120,,Util,5332,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77516291,-88.17104101
154,L8,RMT002,150,5,935020800000,120,,Util,5333,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77522825,-88.17053854
155,L3,RMT002,150,5,935020800000,120,,Util,5334,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77546703,-88.1699324
156,L1,RMT002,150,5,935020800000,120,,Util,5335,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77594093,-88.16951202
157,L1,RMT002,150,5,935020800000,120,,Util,5336,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.7726327,-88.17463593
158,L2,RMT002,150,5,935020800000,120,,Util,5337,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77256815,-88.1738665
159,L3,RMT002,150,5,935020800000,120,,Util,5338,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77269965,-88.17321568
160,L4,RMT002,150,5,935020800000,120,,Util,5339,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77259923,-88.17266105
161,L4,RMT002,150,5,935020800000,120,,Util,5340,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77269248,-88.17135301
162,L1,RMT002,150,5,935020800000,120,,Util,5345,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77306052,-88.17396809
163,L2,RMT002,150,5,935020800000,120,,Util,5360,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77333087,-88.1727412
164,L2,RMT002,150,5,935020800000,120,,Util,5361,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77390949,-88.17276364
165,L2,RMT002,150,5,935020800000,120,,Util,5346,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77345281,-88.1740813
166,L3,RMT002,150,5,935020800000,120,,Util,5341,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77311047,-88.17144684
167,L2,RMT002,150,5,935020800000,120,,Util,5342,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77356307,-88.17133804
168,L1,RMT002,150,5,935020800000,120,,Util,5343,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77418877,-88.1715629
169,L5,RMT002,150,5,935020800000,120,,Util,5344,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77228201,-88.17139544
170,L1,RMT002,150,5,935020800000,120,,Util,5352,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77302945,-88.16830748
171,L2,RMT002,150,5,935020800000,120,,Util,5353,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77332669,-88.16775496
172,L7,RMT002,150,5,935020800000,120,,Util,5351,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77300279,-88.16888536
173,L17,RMT002,150,5,935020800000,120,,Util,6821,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77224968,-88.16851897
174,L18,RMT002,380,5,935020800000,120,,Util,6820,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77216748,-88.16803641
175,L19,RMT002,150,5,935020800000,120,,Util,6819,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77242074,-88.16747342
176,L20,RMT002,380,5,935020800000,120,,Util,6816,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77238742,-88.1669998
177,L22,RMT002,380,5,935020800000,120,,Util,6817,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77260513,-88.16635937
178,L4,RMT002,150,5,935020800000,120,,Util,5348,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77470183,-88.16935715
179,L1,RMT002,150,5,935020800000,120,,Util,5347,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77498344,-88.16877145
180,L1,RMT002,150,5,935020800000,120,,Util,5358,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77457863,-88.17001151
181,L2,RMT002,150,5,935020800000,120,,Util,5357,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77413383,-88.17030544
182,L3,RMT002,150,5,935020800000,120,,Util,5356,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77347647,-88.17006878
183,L4,RMT002,150,5,935020800000,120,,Util,5355,Underground,Electric,Electric,Field Service,Asset Mgmt.,Street Lights,41.77279989,-88.17008225
