OBJECTID,MeasuredLe,NominalVol,OperatingV,ConductorT,FeederID,BackfillMa,BuriedDept,CableCount,ServiceInd,OWNER,OPERATINGC,Shape_Length,FacilityID,Department,Category,Division,Subdivision,AssetType,Latitude,Longitude
19,57.59401435,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,23.592987655342803,SUG-19,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78278338,-88.16076699
20,33.48501268,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,13.712483137522977,SUG-20,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78246907,-88.15998197
21,64.98245561,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,26.60876991497548,SUG-21,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78218936,-88.15995934
22,45.09987603,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,18.418581455651953,SUG-22,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78158351,-88.16136921
23,57.00306091,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,23.281161794959395,SUG-23,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78159804,-88.16055488
24,41.9427197,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,17.131203905396077,SUG-24,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78156489,-88.16200596
25,22.26760978,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,9.108953543044649,SUG-25,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78203264,-88.16250102
26,20.12940942,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,8.225511574540853,SUG-26,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78231391,-88.16084564
27,18.8564481,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,7.704039623915859,SUG-27,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78214936,-88.16141951
28,20.09824566,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,8.215361070431072,SUG-28,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78223851,-88.16192852
29,19.08059245,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,7.809374452476838,SUG-29,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78267353,-88.16209841
30,64.12807937,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,26.25703396906549,SUG-30,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78272148,-88.16284818
31,12.57926786,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,5.138075821292698,SUG-31,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78297293,-88.16175818
32,55.3467963,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,22.62084039075625,SUG-32,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.7831755,-88.16122522
33,33.22194619,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,13.60555125536373,SUG-33,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78187643,-88.16553391
34,14.77486018,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,6.048714687781631,SUG-34,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.7813928,-88.16518947
35,24.27819206,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,9.918865923992007,SUG-35,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.7810372,-88.16457282
36,27.11205885,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,11.073383903909127,SUG-36,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78095238,-88.16393952
37,24.75923943,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,10.134550688925692,SUG-37,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78115357,-88.16309186
38,63.75447362,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,26.10867768417525,SUG-38,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78159397,-88.16310757
39,19.06350542,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,7.788010723744726,SUG-39,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78192727,-88.1638212
40,40.43179151,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,16.511096252280556,SUG-40,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78184203,-88.16448682
41,37.76254741,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,15.426321151723542,SUG-41,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78152573,-88.1638533
42,38.81569105,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,15.892452722254712,SUG-42,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78198267,-88.16479487
43,23.84554144,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,9.755253600165341,SUG-43,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78218505,-88.16470926
44,16.06718803,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,6.5729898692219795,SUG-44,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78240579,-88.16401707
45,20.86014253,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,8.52980605547804,SUG-45,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78212673,-88.16394118
46,25.72007102,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,10.525694835286444,SUG-46,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.7826171,-88.16341696
47,21.70056375,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,8.88113934653266,SUG-47,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78191317,-88.16313295
48,128.40932316,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,52.54521557200249,SUG-48,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78413152,-88.16335725
49,56.30906039,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,22.983755793932556,SUG-49,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78487607,-88.15954185
50,72.5744789,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,29.723965603387796,SUG-50,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78193128,-88.1655635
51,28.01122839,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,11.46077831313596,SUG-51,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78180691,-88.16551584
52,54.67080786,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,22.375726999019825,SUG-52,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78176666,-88.16550597
53,76.65993568,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,31.34607052175575,SUG-53,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78130823,-88.16509004
54,89.99470884,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,36.8135415245079,SUG-54,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78147062,-88.16528746
55,46.17215804,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,18.858439775695764,SUG-55,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78101824,-88.16453324
56,33.48793184,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,13.687702950970674,SUG-56,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78106565,-88.16465158
57,62.07707502,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,25.366757482918967,SUG-57,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.7810812,-88.16470722
58,80.26602812,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,32.76722902717579,SUG-58,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78094642,-88.16404185
59,83.0928043,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,33.9193349380788,SUG-59,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78095511,-88.16375128
60,69.20080024,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,28.32261793358644,SUG-60,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78211446,-88.16486076
61,29.9680847,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,12.261459339856712,SUG-61,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78205822,-88.16483628
62,62.20016328,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,25.46623608428408,SUG-62,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78195098,-88.16477132
63,47.35866821,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,19.381734409602323,SUG-63,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78210396,-88.16466085
64,45.75843403,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,18.705203437493566,SUG-64,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.7824248,-88.16396371
65,33.09636667,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,13.519641697744001,SUG-65,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78237785,-88.1640835
66,70.09300137,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,28.633632152193517,SUG-66,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78234683,-88.16414325
67,63.66904036,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,26.062380677266766,SUG-67,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78221801,-88.16401849
68,16.6122513,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,6.80020151061494,SUG-68,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.7821602,-88.16396667
69,48.81198868,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,19.9708921354449,SUG-69,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78208694,-88.1639175
70,74.03746856,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,30.295593982896904,SUG-70,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78272302,-88.16350046
71,78.79378076,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,32.25059015522392,SUG-71,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78255251,-88.16335902
72,60.23001852,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,24.66622018030321,SUG-72,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78201845,-88.16313289
73,23.99023325,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,9.81973838894252,SUG-73,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78196409,-88.1631352
74,65.41133732,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,26.788866102614133,SUG-74,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78184977,-88.16312496
75,50.75637927,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,20.7797029851597,SUG-75,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78144488,-88.16309971
76,62.15208502,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,25.4501325058257,SUG-76,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78120681,-88.16309135
77,36.32822303,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,14.874571968862186,SUG-77,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.7810828,-88.16308818
78,66.49024427,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,27.232122298812993,SUG-78,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78103543,-88.16308129
79,79.50204858,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,32.45977252523436,SUG-79,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78153277,-88.16377088
80,92.47006706,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,37.755676663320656,SUG-80,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78152048,-88.16407786
81,69.07712145,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,28.20327361785411,SUG-81,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78192844,-88.16397196
82,18.45259542,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,7.538307362100583,SUG-82,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.7819263,-88.16387153
83,56.71295232,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,23.15562732664721,SUG-83,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78193293,-88.16374607
84,84.08643544,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,34.334823218817505,SUG-84,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78186627,-88.16440724
85,81.60109151,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,33.32962368150252,SUG-85,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78179425,-88.16468404
86,47.73685271,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,19.49950004816602,SUG-86,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78322124,-88.16297256
87,23.43591434,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,9.581469269110142,SUG-87,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78317432,-88.16307159
88,48.26861804,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,19.726995222625252,SUG-88,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78315905,-88.16311974
89,70.47530671,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,28.80305827769337,SUG-89,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78333299,-88.16238785
90,25.61300902,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,10.463378729187461,SUG-90,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78339045,-88.16224179
91,45.41119993,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,18.551993898478116,SUG-91,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.7834091,-88.16220841
92,50.93217738,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,20.843164935302905,SUG-92,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78369002,-88.16165829
93,16.16293132,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,6.615076701571324,SUG-93,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78361006,-88.16160262
94,61.13703633,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,25.015911519683204,SUG-94,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78356109,-88.16155597
95,51.81700278,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,21.200962680897945,SUG-95,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78387971,-88.16154583
96,7.75356878,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,3.1738328350938527,SUG-96,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78383637,-88.1614941
97,77.60032502,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,31.740163938692117,SUG-97,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78374138,-88.16140927
98,23.62428193,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,9.662824500231844,SUG-98,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78266121,-88.16283779
99,30.28849203,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,12.395438808318772,SUG-99,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78260141,-88.16283701
100,60.78716685,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,24.885755399170865,SUG-100,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78255643,-88.16283948
101,38.47938702,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,15.75618485747213,SUG-101,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78273941,-88.16210378
102,70.31666565,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,28.80148878126596,SUG-102,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78259959,-88.16208727
103,67.23189399,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,27.507559188401515,SUG-103,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78230073,-88.16196891
104,22.65759019,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,9.27399873477409,SUG-104,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78219882,-88.16189616
105,47.83125212,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,19.579461618754056,SUG-105,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78216748,-88.16186548
106,74.98406076,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,30.613120810908807,SUG-106,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78214361,-88.1615808
107,78.66111229,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,32.11093816140014,SUG-107,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78215606,-88.16130706
108,81.74628332,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,33.4415997910028,SUG-108,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78221865,-88.16096082
109,82.40860778,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,33.6947478459104,SUG-109,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.7823833,-88.16077054
110,32.80246654,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,13.42812035021181,SUG-110,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78315487,-88.16081921
111,37.94617518,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,15.537890407366834,SUG-111,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78306951,-88.16079528
112,64.41923823,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,26.38303536595257,SUG-112,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78303033,-88.16079009
113,71.65113603,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,29.338859780136374,SUG-113,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78306354,-88.15998739
114,31.80581342,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,13.012730424953967,SUG-114,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78319079,-88.16002442
115,45.31945509,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,18.55433260434807,SUG-115,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78310135,-88.16000332
116,55.12938318,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,22.530988628357857,SUG-116,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78345982,-88.16023608
117,26.03201267,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,10.63629000887035,SUG-117,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78349012,-88.16019573
118,39.35866145,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,16.097078012217874,SUG-118,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78354204,-88.16011368
119,71.95690698,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,29.42069649106303,SUG-119,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.784034,-88.16055122
120,82.41925538,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,33.681994043477154,SUG-120,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78417002,-88.16033963
121,69.61551414,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,28.476803107779965,SUG-121,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78422842,-88.16092716
122,74.2086405,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,30.33642106959041,SUG-122,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78315678,-88.16124818
123,39.14438399,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,16.006093622610997,SUG-123,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78325428,-88.16109049
124,68.9775285,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,28.205765311333952,SUG-124,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.7832768,-88.16104664
125,66.53591582,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,27.19027996111329,SUG-125,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78302222,-88.16163648
126,62.58974433,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,25.568647442285492,SUG-126,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78293287,-88.16183756
127,65.98994447,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,27.025453868379454,SUG-127,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78260126,-88.159983
128,34.3017977,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,14.041802441833747,SUG-128,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78255144,-88.15998713
129,60.3424011,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,24.711997991481635,SUG-129,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78243094,-88.1599744
130,30.30750558,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,12.401460020487054,SUG-130,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78213629,-88.15996023
131,31.04040042,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,12.711135359308448,SUG-131,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78206356,-88.15995447
132,77.1702868,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,31.59951753642927,SUG-132,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.7819995,-88.15994605
133,33.24227424,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,13.585317317896664,SUG-133,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78160213,-88.16060364
134,46.1206673,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,18.83780578705507,SUG-134,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78159673,-88.16073304
135,70.68376355,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,28.861411752291108,SUG-135,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78158985,-88.16078263
136,70.5271285,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,28.794343582362984,SUG-136,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78157828,-88.16142119
137,31.65573187,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,12.936302939956729,SUG-137,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78158485,-88.16124596
138,58.88768681,60,60,OPN,RMT001,SOIL,2,3,Y,Utility,Service,24.051835067188208,SUG-138,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Underground),41.78157977,-88.16119111
