OBJECTID,FacilityID,FeederID,Installati,ServiceCur,Status,CONSTRUC_1,GlobalID,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
33,MTR-33,RMT001,347155200000,0,A,Underground,{E5601F1F-28EB-4024-BA25-0F5476870460},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78900732,-88.15646941
34,MTR-34,RMT001,347155200000,0,A,Underground,{611E838B-EDE4-4661-91CD-99CFAA177737},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78908511,-88.15663092
35,MTR-35,RMT001,347155200000,0,A,Underground,{53556E6C-9D09-419E-A80E-458B6028004E},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7892974,-88.15669017
36,MTR-36,RMT001,347155200000,0,A,Underground,{71A188F7-CC92-46C2-A90B-2DABC753E8AF},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78962549,-88.15645012
37,MTR-37,RMT001,347155200000,0,A,Underground,{BC5851B7-DF34-4A0B-8566-8EE53B787650},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78963696,-88.15631625
38,MTR-38,RMT001,347155200000,0,A,Underground,{29E516D9-43AB-4980-AFEF-E9C71815FEC7},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78966768,-88.15599837
39,MTR-39,RMT001,378691200000,0,A,Underground,{252AE1D4-0BEC-4B79-87FE-21D68AFDE13E},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78964188,-88.1558083
40,MTR-40,RMT001,347155200000,0,A,Underground,{2461F605-B41A-4251-8254-C7671764669B},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78966141,-88.15548147
41,MTR-41,RMT001,347155200000,0,A,Underground,{0FB6877B-93D2-49E2-ADD6-A9718DF0753C},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7896237,-88.15533279
42,MTR-42,RMT001,347155200000,0,A,Underground,{58566B1C-B480-4313-B15A-5E559FC371D9},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78965635,-88.15499921
43,MTR-43,RMT001,378691200000,0,A,Underground,{B647E5E5-37D0-43C1-B999-D4FEAA1C2722},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78960177,-88.15484799
44,MTR-44,RMT001,-94694400000,0,A,Underground,{46D724DF-1F09-4691-AB63-46AD8546B602},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78971118,-88.15358605
45,MTR-45,RMT001,1386460800000,0,A,Underground,{C19D2F13-49E2-4FE0-A2FD-C49C8DD10837},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79045963,-88.15498118
46,MTR-46,RMT001,1386460800000,0,A,Underground,{B780F624-6F10-4CC3-98DE-0FF3144A5E87},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79056791,-88.15526349
47,MTR-47,RMT001,536457600000,0,A,Underground,{002BB6D3-D21D-42C8-B468-606BDE5D87F3},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79093104,-88.15531639
48,MTR-48,RMT001,536457600000,0,A,Underground,{64CE39F4-0F14-4B33-80DE-E4A4B34B088A},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79224627,-88.15485082
49,MTR-49,RMT001,536457600000,0,A,Underground,{17F3809D-9883-4455-AFC3-EBAFDECF4086},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79225214,-88.1553498
50,MTR-50,RMT001,536457600000,0,A,Underground,{EE554B18-BD05-47E2-ABCF-045A606F4DD6},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79233051,-88.15614156
51,MTR-51,RMT001,536457600000,0,A,Underground,{BD8C52AA-372A-4E5F-9D97-CB6E8EDFEA67},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79299622,-88.15581299
52,MTR-52,RMT001,536457600000,0,A,Underground,{F93F33BD-AEB3-4989-8C9E-963B74F0938E},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79299877,-88.15557978
53,MTR-53,RMT001,536457600000,0,A,Underground,{588E1144-52ED-48E8-A062-8676688F8FF5},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79279647,-88.15475181
54,MTR-54,RMT001,1391644800000,0,A,Underground,{0DB9BC21-4816-474A-AF89-8C42004E0ABB},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79333185,-88.15418753
55,MTR-55,RMT001,1391644800000,0,A,Underground,{6B3C3A52-FD3D-45C3-82F5-B5ECB4BD1B90},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79324035,-88.15387021
56,MTR-56,RMT001,126230400000,0,A,Underground,{E74A9B85-E8B3-4EB4-BF8F-BBEE433EB5B6},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79513878,-88.15741853
57,MTR-57,RMT001,126230400000,0,A,Underground,{FC0FD407-71C6-4271-A804-68AA9D7A28E4},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79494815,-88.15741432
58,MTR-58,RMT001,252460800000,0,A,Underground,{B345AFC5-EF2B-46D3-A153-0EB3825583D2},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79562338,-88.15742442
59,MTR-59,RMT001,252460800000,0,A,Underground,{097698DA-52BB-4D5B-982C-9F01C3D981A7},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79611189,-88.1574117
60,MTR-60,RMT001,252460800000,0,A,Underground,{7F1F89D3-FDBE-4714-9A08-DA10534B8883},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79592096,-88.15742623
61,MTR-61,RMT001,252460800000,0,A,Underground,{05C05777-B68E-483D-B8E7-9F538663DACC},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.795658,-88.15768985
62,MTR-62,RMT001,252460800000,0,A,Underground,{331F6391-25D2-4CFF-8ACA-394DF659910C},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79575884,-88.15741883
63,MTR-63,RMT001,252460800000,0,A,Underground,{7E5809FD-50D2-493C-B099-D7F67275B4C7},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79544244,-88.15741987
64,MTR-64,RMT001,126230400000,0,A,Underground,{86D50371-1BFA-4A47-9EF2-D8107B53B762},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.79534978,-88.15741797
65,MTR-65,RMT001,1387756800000,0,A,Underground,{86238772-42B5-4E84-A159-DD2BFD0E6346},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78768377,-88.15226025
66,MTR-66,RMT001,1387756800000,0,A,Underground,{F2DBC31D-E743-46A5-AD2B-E2CC80362CE7},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78750127,-88.15229603
67,MTR-67,RMT001,1387756800000,0,A,Underground,{A81AC6FE-C8AA-4F5A-90AE-8ECF16B66111},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78698707,-88.15218304
68,MTR-68,RMT001,1387756800000,0,A,Underground,{65717508-8D6D-44C1-BF63-4E5F6588217B},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78795018,-88.15250048
69,MTR-69,RMT001,1387756800000,0,A,Underground,{B9CF7438-A5A3-4686-BC2F-974D377067DE},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78736758,-88.15278078
70,MTR-70,RMT001,1387756800000,0,A,Underground,{3A6CFE14-A6C3-462A-8209-27A829A5999B},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78721321,-88.15301285
71,MTR-71,RMT001,1370390400000,0,A,Underground,{F9432B76-ED3B-45A4-94E2-53CF0C56923F},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78639563,-88.15183732
72,MTR-72,RMT001,1370390400000,0,A,Underground,{391E769F-E95B-46A6-B423-70A6A1EA992D},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78638562,-88.15271087
73,MTR-73,RMT001,1370390400000,0,A,Underground,{4F8E5A16-7532-4DCC-9649-7FDEEAE5B147},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78602771,-88.15246485
74,MTR-74,RMT001,1370563200000,0,A,Underground,{1BE1753A-AC47-4EB3-85EE-017DD45CB058},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78820429,-88.14668251
75,MTR-75,RMT001,1370563200000,0,A,Underground,{72AABCB7-5299-4DD3-B616-11EE60EECE29},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78789915,-88.14654049
76,MTR-76,RMT001,1375833600000,0,A,Underground,{D3BE8306-BC80-4414-9961-8BBDEF37845C},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78789913,-88.14474297
77,MTR-77,RMT001,1403481600000,0,A,Underground,{5DA17922-469A-45CA-B05A-A4362FBFD8EB},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78787229,-88.14411637
78,MTR-78,RMT001,1403481600000,0,A,Underground,{446CC943-E4F4-4224-9A9C-F0115973CE15},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78789666,-88.14393807
79,MTR-79,RMT001,1378598400000,0,A,Overhead,{7E4347A4-8CB4-4935-AC10-90F5B34C6C20},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78788506,-88.14359877
80,MTR-80,RMT001,599616000000,0,A,Underground,{40D7989F-69FE-4F07-B0B9-AA1283FE9474},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78192103,-88.16552871
81,MTR-81,RMT001,599616000000,0,A,Underground,{672D0E54-AD99-4C24-87F5-876E08045C23},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7814109,-88.16518989
82,MTR-82,RMT001,599616000000,0,A,Underground,{5DF38ACB-6214-4EA8-AF04-0F8F83DCE506},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78103334,-88.1645346
83,MTR-83,RMT001,599616000000,0,A,Underground,{76F32617-B353-42D6-9762-2D4C7A12CEE6},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78096003,-88.16398476
84,MTR-84,RMT001,599616000000,0,A,Underground,{5592DC35-312F-45CA-A5C2-062325F8D4DC},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78118261,-88.16310679
85,MTR-85,RMT001,599616000000,0,A,Underground,{6FD2C8B5-C247-496D-B728-F56929F5E9C4},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78167454,-88.16314028
86,MTR-86,RMT001,599616000000,0,A,Underground,{E470863E-1E69-461E-B42E-4B6AA22DDE8C},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78151124,-88.16380009
87,MTR-87,RMT001,599616000000,0,A,Underground,{EDD7078D-9D58-45FE-8AC9-877D1F7D2D59},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78184973,-88.16441729
88,MTR-88,RMT001,599616000000,0,A,Underground,{AAACCAC5-B547-4871-AD40-38EA7A56E5FB},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78192208,-88.16378953
89,MTR-89,RMT001,599616000000,0,A,Underground,{25E75C71-2ACE-407C-986B-B3B61345D553},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78188822,-88.16314712
90,MTR-90,RMT001,599616000000,0,A,Underground,{6D5A9491-D989-4606-990F-505D1A48DAC7},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7819332,-88.1647747
91,MTR-91,RMT001,599616000000,0,A,Underground,{0AD4785E-9F38-43E2-9BB3-BBE473A078F1},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78220662,-88.1646915
92,MTR-92,RMT001,599616000000,0,A,Underground,{429060F9-AD87-4402-BA95-6CA6FF011488},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78211011,-88.16391639
93,MTR-93,RMT001,599616000000,0,A,Underground,{F6E24492-99BA-475F-B23A-C8C4897258D9},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78242161,-88.16399962
94,MTR-94,RMT001,599616000000,0,A,Underground,{D5A771C7-6ECB-4037-9C50-A8D1BC23B840},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78258784,-88.16340627
95,MTR-95,RMT001,504921600000,0,A,Underground,{D5A24F6C-473F-40E6-BF8E-9D3E1B45B6EA},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78364477,-88.16165205
96,MTR-96,RMT001,504921600000,0,A,Underground,{E86CE436-89D2-4BE1-8D21-3CAABE528555},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78374292,-88.16137971
97,MTR-97,RMT001,504921600000,0,A,Underground,{458D0E25-1A9F-4451-BB97-77683371C7C2},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.783133,-88.1613059
98,MTR-98,RMT001,504921600000,0,A,Underground,{D369FE13-05B3-4B25-A810-7EA781909D60},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78297515,-88.16177858
99,MTR-99,RMT001,504921600000,0,A,Underground,{A361E62A-667C-4859-80C1-408F115F85FA},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78267168,-88.16281048
100,MTR-100,RMT001,504921600000,0,A,Underground,{1AED70A0-FC2C-48FA-B351-A5F0D2C62EB7},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78265092,-88.16210772
101,MTR-101,RMT001,504921600000,0,A,Underground,{69BE22C5-8BF5-408C-9F36-24A41CBA2FF0},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78225441,-88.16195599
102,MTR-102,RMT001,504921600000,0,A,Underground,{51F6BE3E-A553-40BD-AF00-5A71F70A5C17},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78213985,-88.16139437
103,MTR-103,RMT001,504921600000,0,A,Underground,{5E3AFA14-2940-4B5B-B44D-03E6A46296EC},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78231778,-88.16081602
104,MTR-104,RMT001,504921600000,0,A,Underground,{39D9D035-128B-4A64-AE11-3F599DBC186A},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78285999,-88.1607555
105,MTR-105,RMT001,504921600000,0,A,Underground,{73ECB94E-A3D3-4560-A92B-6E370CA4CDA7},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78319287,-88.16081344
106,MTR-106,RMT001,504921600000,0,A,Underground,{9F5767C9-C2E2-4D8B-85F0-9DD22D73EAD6},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78347346,-88.16023562
107,MTR-107,RMT001,504921600000,0,A,Underground,{504C59DA-EDAE-47FC-B534-2CA34FEA8290},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78304586,-88.16000707
108,MTR-108,RMT001,504921600000,0,A,Underground,{9A172F68-D1DC-432D-864E-F73FBAC409B9},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7824261,-88.1599922
109,MTR-109,RMT001,504921600000,0,A,Underground,{75DE4726-DBB3-42C7-A1FF-4D98CB662167},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78216617,-88.15998351
110,MTR-110,RMT001,504921600000,0,A,Underground,{BA1D3047-6E63-440B-8DA8-8BF354B98D6D},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78161357,-88.16080391
111,MTR-111,RMT001,504921600000,0,A,Underground,{D1E05133-8C4C-41DF-BC4D-03695C1BFB07},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78159681,-88.16144316
112,MTR-112,RMT001,504921600000,0,A,Underground,{D9138849-F7B4-4075-995D-F0378245A56A},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78158086,-88.16206969
113,MTR-113,RMT001,504921600000,0,A,Underground,{6DCFFBB5-4048-4B4D-B271-3D284786335A},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78205387,-88.16252189
114,MTR-114,RMT001,315532800000,0,A,Underground,{4D34FF81-6BB4-4086-9BB2-B9CE9559F9CC},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78299895,-88.15976758
115,MTR-115,RMT001,283996800000,0,A,Underground,{F7F4BCCF-A492-4961-979C-21E352941431},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7877267,-88.15668225
116,MTR-116,RMT001,283996800000,0,A,Underground,{309F37F3-6766-4815-9935-D67BF5D3413A},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78720584,-88.15659518
117,MTR-117,RMT001,1230768000000,0,A,Underground,{498F3339-4364-482A-AF7A-2B9A12618DC5},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78613531,-88.15141108
118,MTR-118,RMT001,599616000000,0,A,Underground,{2797194A-35A4-4FC2-91D6-5E97525956A7},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78202592,-88.1655674
119,MTR-119,RMT001,599616000000,0,A,Underground,{10E58FDD-20E3-4241-86F1-442286032C84},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78177868,-88.16549095
120,MTR-120,RMT001,599616000000,0,A,Underground,{DC8D3501-A65E-4061-B8CD-CC364D6875B0},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78171039,-88.16545449
121,MTR-121,RMT001,599616000000,0,A,Underground,{C064843D-1D2E-4055-B6E6-E112FDAA1CA5},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78218641,-88.16492507
122,MTR-122,RMT001,599616000000,0,A,Underground,{815823A5-7DE6-4315-899A-2DE97B449094},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78209083,-88.16486427
123,MTR-123,RMT001,599616000000,0,A,Underground,{25B1B8FA-2A42-4201-B31E-127EC7EDCA26},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78187552,-88.16475235
124,MTR-124,RMT001,599616000000,0,A,Underground,{5FB3E639-8184-4D21-8E65-E57A28C0CD98},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78156482,-88.1653615
125,MTR-125,RMT001,599616000000,0,A,Underground,{3D72B9ED-2879-4087-8FBA-6A18F4C71154},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78124802,-88.16498923
126,MTR-126,RMT001,599616000000,0,A,Underground,{9515FE83-1CAF-456B-AFDE-E25EC5F3E644},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78113006,-88.16479503
127,MTR-127,RMT001,599616000000,0,A,Underground,{1EA460D7-3D72-471C-A421-2A0E3331AFF1},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78109165,-88.16469541
128,MTR-128,RMT001,599616000000,0,A,Underground,{C9F3547F-A2ED-460B-A98E-0AE0AE68F457},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78100704,-88.1644585
129,MTR-129,RMT001,599616000000,0,A,Underground,{97E4EB33-0716-484A-8AD3-E20DBDA3ED40},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78095772,-88.1641808
130,MTR-130,RMT001,599616000000,0,A,Underground,{51198B02-BF56-4928-9380-BA2CE2EA915A},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78096046,-88.16359946
131,MTR-131,RMT001,599616000000,0,A,Underground,{525C1EFC-F0F7-4945-83D6-39F379BF92C7},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78094885,-88.16310141
132,MTR-132,RMT001,599616000000,0,A,Underground,{38FA810B-7861-4446-A28E-82D4C8B3657F},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78103572,-88.16309533
133,MTR-133,RMT001,599616000000,0,A,Underground,{BCA9AD5D-9F2F-4630-96E1-465C6045F877},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78128172,-88.16312587
134,MTR-134,RMT001,599616000000,0,A,Underground,{DF33C11A-9D69-4FFF-BF77-43A468F225BA},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78138604,-88.16312933
135,MTR-135,RMT001,599616000000,0,A,Underground,{553A68CC-A45B-4CC8-97AF-15F6ABD3C86A},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78151534,-88.16363978
136,MTR-136,RMT001,599616000000,0,A,Underground,{8F0EA04C-4058-4F82-AB92-C1CD5B9DBC0A},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78149864,-88.16423097
137,MTR-137,RMT001,599616000000,0,A,Underground,{9884BC24-BBA5-46C4-8423-20F04CA610A5},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78209408,-88.16316095
138,MTR-138,RMT001,599616000000,0,A,Underground,{15802CBA-28B5-424F-8344-9EE4BA48C982},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78192177,-88.16365339
139,MTR-139,RMT001,599616000000,0,A,Underground,{79D8F0C1-7644-4EA5-B129-C4AB6E326A7C},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78192148,-88.16390309
140,MTR-140,RMT001,599616000000,0,A,Underground,{111636F1-1125-416C-A2A3-DD1EBC5CE12C},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78191314,-88.16408436
141,MTR-141,RMT001,599616000000,0,A,Underground,{8E03E5FC-DA56-44C4-BF43-B317F57764EC},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78203908,-88.163865
142,MTR-142,RMT001,599616000000,0,A,Underground,{04C7923D-A59A-48DD-89B6-45AAD7AA3F27},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78218095,-88.1639695
143,MTR-143,RMT001,599616000000,0,A,Underground,{056CF621-CA6A-42FD-9F59-DF33B10FBCAE},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78229439,-88.16405656
144,MTR-144,RMT001,599616000000,0,A,Underground,{AE7B2A6F-D831-4610-9E91-DC03E626F39C},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.7824601,-88.16330402
145,MTR-145,RMT001,599616000000,0,A,Underground,{00797FEA-6779-4CC9-AEED-2D1560DBDB01},Electric,Electric,Field Service,Asset Mgmt.,Meters,41.78280592,-88.16357421
