OBJECTID,Installati,FacilityID,Owner,GlobalID,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
32,136857600000,P20-T2,Utility,{64E142A6-3ACB-48FD-8207-CEA3CCDB1D98},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.79512502,-88.1572134
33,142300800000,P22-T18,Utility,{D4D8F0DD-2D76-4D50-8FD2-572A98F571BC},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78318637,-88.16149349
34,142300800000,P22-T11,Utility,{40EB40AC-E9F0-4F36-AE0B-ABD55956FFBF},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78338844,-88.16029083
35,142300800000,P22-T12,Utility,{36D2DF46-60E4-480F-A561-8E1D011F11C6},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78230186,-88.16013856
36,142300800000,P22-T14,Utility,{58219FF9-37D9-464B-B5FD-14E6BDF0C934},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.7817132,-88.16166134
37,1370390400000,P22-T10,Utility,{A6446B99-83EA-495B-AB94-9BC676F0197A},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78396795,-88.16074059
38,142300800000,P22-T13,Utility,{BAC8941B-339F-47A5-862E-C7248003BB7F},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78173354,-88.16098137
39,142300800000,P22-T19,Utility,{DDB63D97-7000-4944-8103-3D175C28DDFA},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78290391,-88.16065037
40,142300800000,P22-T20,Utility,{33620645-CBD6-4E26-9B0B-25B953BF0F03},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78206759,-88.16107811
41,142300800000,P22-T21,Utility,{E15D2589-41BC-44A5-AE32-BA8F4DB74A41},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78239124,-88.16215285
42,142300800000,P22-T16,Utility,{9A86E59D-AFC2-4658-A97E-F77C0E88F58D},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78239222,-88.16291304
43,142300800000,P22-T15,Utility,{22C42010-5C93-451E-8FEE-2C1A51DA39B8},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78221291,-88.1625544
44,142300800000,P22-T25,Utility,{E1DBD2A2-7C23-4093-8EE3-724C885C87A5},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78167386,-88.16527772
45,142300800000,P22-T24,Utility,{B3F1579E-8117-4CBB-8B3D-F4EB7CBD8450},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78106729,-88.16427061
46,142300800000,P22-T23,Utility,{1181EAC0-6911-4D38-BF2D-AE5E8135B060},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78131642,-88.16326835
47,1379462400000,P22-T28,Utility,{4E86C400-E0E5-4F24-A21C-B757367C7919},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78176052,-88.16413504
48,142300800000,P22-T22,Utility,{D8DEFA13-6FFB-4B88-9F7E-5ABC44242372},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78233098,-88.16337971
49,142300800000,P22-T26,Utility,{44EC01B7-CDEE-4D2D-85EE-F1F21F57F527},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78221933,-88.16477956
50,142300800000,P22-T27,Utility,{C6460C64-6DBE-4DBF-913D-0DA1D507E8BE},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78239236,-88.16396073
51,928540800000,P30T1,Utility,{BB4A2CC4-99E6-4F82-8B98-4FFD1720A7F1},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78618168,-88.15343161
52,136857600000,MH2T1,Utility,{67C90BB5-4D87-4762-8B9F-2EAA0D27E348},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78299577,-88.17100592
53,136857600000,MH2T2,Utility,{F6213F8A-4B1A-46A5-99EA-6A001D506751},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78324746,-88.17112598
54,136857600000,P13-T1,Utility,{55C25C7B-158B-4F7D-872B-BBF952CA9068},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78948171,-88.1434231
55,136857600000,P5-T1,Utility,{10454DCB-8782-4D4B-B6C6-4B8702E78D77},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78847705,-88.14439429
56,340070400000,P7-T2,Utility,{E0CB2D39-2A54-4614-B943-B6DD5E99314A},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78926093,-88.15669198
57,340070400000,P7-T3,Utility,{00128740-200A-4AC5-BC3F-FD6F8ADBAE89},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78911887,-88.15587658
58,340070400000,14T1,Utility,{02C367D1-7716-4FBE-8EDD-8707DE5F5F89},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.79284211,-88.1546997
59,340070400000,14T2,Utility,{B668A98A-4370-418D-ADF6-573F446EA77B},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.79310322,-88.15575489
60,340070400000,14T4,Utility,{ACC16CD4-12B1-4BA5-8423-2516A068E9D4},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.7921963,-88.15513798
61,340070400000,14T3,Utility,{76FE6E0D-BDBD-481E-85F3-069ADD22719E},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.79232218,-88.156191
62,1031443200000,P12-17T1,Utility,{67E184C0-0FE9-41EB-8DF3-2865BD4F7926},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78693934,-88.1520928
63,1031443200000,P12-17T2,Utility,{5EC46A95-9140-4BCA-9083-AC8414042F0F},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78733595,-88.15232919
64,1031443200000,P12-17T3,Utility,{49E35FE4-4359-4A32-8015-E3A2693CAF11},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78784676,-88.15236034
65,1031443200000,P12-17T4,Utility,{7EBD7298-8966-49D6-86B8-7DCE0B8B825D},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.7878951,-88.15282902
66,1031443200000,P12-17T5,Utility,{4B84464C-6542-456E-8ADB-D0992E307E22},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78815712,-88.15371248
67,1031443200000,P12-17T6,Utility,{E32A3987-793E-4AB9-8F62-C80D66387E27},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78738308,-88.154036
68,1031443200000,P12-17T7,Utility,{DE10CE0C-823D-4635-9336-40D1B2F3A3D9},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78728915,-88.15319171
69,1031443200000,P12-17T8,Utility,{DFD47AEC-A847-419F-9DEA-8AE99122B63C},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78743105,-88.15286273
70,928540800000,P30T2,Utility,{78F867A2-7505-4551-B410-114F9B9AA92A},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78609593,-88.15249167
71,928540800000,P30T3,Utility,{381AD666-03CF-411B-8915-58BA1EB5D373},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78635637,-88.15248529
72,928540800000,P30T4,Utility,{FE0D6CA0-2EA6-43D6-B3F3-B48DFB8AFEFF},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78634027,-88.15183879
73,176342400000,P3-T2,Utility,{B6A42054-C2CB-4472-BFBC-59BD814521C1},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78636147,-88.15477223
74,176342400000,P4-T2,Utility,{EAABB405-32BB-4C57-9F93-031F39343C78},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78776007,-88.1563168
75,176342400000,P3-T3,Utility,{5BE79410-50D1-4E6D-AA1D-65049A08A2A7},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.78715711,-88.15637281
76,913334400000,MH7-T1,Utility,{C446FE07-5A81-497D-A143-1ABD0C52DF39},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77220057,-88.16776232
77,913334400000,MH6-T4,Utility,{7A27E972-18EB-4F17-81AE-951402BCCFAA},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.7720107,-88.16942303
78,913334400000,SC2-T1,Utility,{07651999-D985-4444-932C-49FA2678A3A2},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77127788,-88.17890426
79,913334400000,P24-T1,Utility,{E89503DC-B830-4BCF-9021-09CC095F39F4},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.7721029,-88.17499184
80,913334400000,SC2-T2,Utility,{00D7CCBF-D832-4667-89B2-47EB777779D9},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.771917,-88.17921249
81,913334400000,SC2-T3,Utility,{D0A702A3-2F71-45CF-BC8E-932BAA1A04BA},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77268787,-88.1796929
82,913334400000,SC2-T5,Utility,{D6A5A984-31DE-412A-8D0A-27420D353889},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.7732686,-88.18060992
83,913334400000,SC2-T4,Utility,{E6A36757-FC4B-4FC1-BE13-A1681FE3A449},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77331659,-88.17984255
84,913334400000,SC2-T6,Utility,{5E3745DC-7269-484A-985F-CD9A585F4591},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77321592,-88.18145408
85,913334400000,SC3-T1,Utility,{22D96E3F-D10C-48BF-BCA0-62234AD15C2A},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77137441,-88.18155979
86,913334400000,SC3-T2,Utility,{6885D617-9251-4665-AAFD-837C50F82DB6},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77226194,-88.18154957
87,913334400000,SC3-T4,Utility,{A781F6E5-3679-4BB6-9A6E-5DD530639025},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77161225,-88.18028669
88,913334400000,SC3-T3,Utility,{FE5E466C-6914-497F-A19A-FA4B3F95E25A},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77231545,-88.1806939
89,913334400000,T1,Utility,{F34B4A81-FD98-464C-8576-BD1527206233},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77102884,-88.17774117
90,913334400000,T2,Utility,{64E97CDE-FDA6-4AFC-9B88-54EE49DCBCAA},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77112915,-88.17574106
91,913334400000,T3,Utility,{A7EDCCBA-DA6E-461E-852A-55BD82B1A9E3},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.76938707,-88.17558554
92,913334400000,T4,Utility,{EF86B7A6-2435-45EA-94F6-323257027347},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.7687696,-88.17682244
93,913334400000,T1-3,Utility,{C005B471-FFE6-425E-B465-5805F754EF29},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.76811771,-88.17803928
94,913334400000,T1-2,Utility,{9A53AE17-B1E9-40DB-BFC2-9D01217AD622},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.76919343,-88.17795376
95,913334400000,T1-1,Utility,{BC280DC7-1C49-45B7-AFD0-8C3C043A92D0},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77011747,-88.17760295
96,913334400000,P14-T1,Utility,{126E2E64-FE85-4985-9E9B-473B063E31E4},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.76775533,-88.17544293
97,913334400000,P8-1-T1,Utility,{548E9B37-870E-44B3-9221-80CCB0F6B370},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77849878,-88.17701701
98,913334400000,P9-T5,Utility,{17FFF7DE-6FA0-4CCE-9CD0-D7F9C3FB8FDE},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77796942,-88.174046
99,913334400000,SC1-T2,Utility,{27A65B0F-062E-460E-8001-4F6AC1670DEC},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77822396,-88.175823
100,913334400000,P9-T6,Utility,{6F6FFC10-6C4F-42D7-B196-76C27D00ADAF},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77859715,-88.17407057
101,913334400000,P9-T1,Utility,{54B55E6F-2E70-41C4-BF92-5A9BD2B57AA0},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77694771,-88.17599673
102,913334400000,P9-T2,Utility,{0632A2A5-BEEA-482C-B121-3DA509DD877E},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77725367,-88.1753868
103,913334400000,P9-T3,Utility,{7E81C9DD-B623-4F44-B323-751A4A878E11},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.7775305,-88.17484081
104,913334400000,P9-T4,Utility,{4612C268-8A33-43D2-AF52-7371EBE54FA4},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77786193,-88.17416792
105,913334400000,P9-T7,Utility,{C7CD592A-4B25-4357-A253-90F3D4997DF1},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77834866,-88.17246932
106,913334400000,T4,Utility,{39FB3930-4619-443C-845A-F0A7212D1674},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77736407,-88.17223718
107,913334400000,T3,Utility,{2BFBBA77-4679-4927-B96A-57FF355BAF09},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77697559,-88.17098362
108,913334400000,T2,Utility,{E1D1DD0C-1B32-450F-A65F-9FFE79B361A4},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77634481,-88.17153954
109,913334400000,T1,Utility,{60AAC637-90F1-498C-A4C1-041937BD7B64},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77612026,-88.17250916
110,913334400000,P15-T2,Utility,{3E7864A0-D346-48BC-B029-23DAF0B613FC},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77556925,-88.17100801
111,913334400000,P15-T1,Utility,{61F581B3-3270-4C60-90CE-1DD622ACC900},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77556441,-88.16867054
112,913334400000,P15-T1,Utility,{0034D031-F797-43BB-9808-91AA5935A9C5},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77441539,-88.16866998
113,913334400000,P15-T1,Utility,{FE50160D-6ECB-4F62-B8BC-151169EEAE45},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77625831,-88.16962766
114,913334400000,P21-T1,Utility,{A2209A87-041D-4473-9637-2AD8C7DFA09F},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77300905,-88.17455266
115,913334400000,P21-T2,Utility,{2844FABC-75F4-4BED-8E7B-CA332C62C098},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77366572,-88.17461031
116,913334400000,P21-T1,Utility,{26B7ADEA-1533-4730-821A-DD185034DB07},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77393982,-88.17347696
117,913334400000,P21-T1,Utility,{36F27D0A-9DBA-4BB2-8320-15873F67437B},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77429552,-88.17239224
118,913334400000,P21-T2,Utility,{1302FD9D-8D9D-4149-8C2E-8D091EA51B4B},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77368389,-88.17203784
119,913334400000,P21-T3,Utility,{E50F67BA-9EB5-4FE3-AAC3-86D9713929CA},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77308767,-88.17202236
120,913334400000,P21-T2,Utility,{26AF08A7-2E2F-4809-BC38-225FE15DC7C1},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77327782,-88.17327772
121,913334400000,P8-T1,Utility,{320A0B9D-0622-4810-BF43-22AD931B468B},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77685131,-88.17798899
122,913334400000,P13-T4,Utility,{90FB812A-5FE2-44BE-A3BF-FDD43A770EAC},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77532532,-88.17874427
123,913334400000,P13-T3,Utility,{605C1656-5426-495E-A9B4-03E883B49CF1},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77598472,-88.17793493
124,913334400000,P8-T2,Utility,{BE279520-8609-4B41-BC47-E8EC0391A054},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77674842,-88.17963963
125,913334400000,P8-T3,Utility,{8F49D449-C635-4F83-A9A7-11F1E964B988},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.7766768,-88.1807908
126,913334400000,P8-T5,Utility,{27328F43-6BA5-4285-A7F4-474D52116C9B},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77496252,-88.18148675
127,913334400000,P8-T4-1,Utility,{8296A059-9D80-4A3F-8E7F-739FCC0E8062},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77585045,-88.18009164
128,913334400000,P24-T1,Utility,{BCA13E7D-B541-4D29-AC20-8948BE933435},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77204745,-88.17616193
129,913334400000,P24-T2,Utility,{6ABD3CD5-6A60-4795-B159-3024D4D1C61A},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77198569,-88.17730279
130,913334400000,P20-T1,Utility,{37578CA0-8128-48E6-ABB8-794621AFE9AD},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77356391,-88.17587808
131,913334400000,P20-T2,Utility,{96483618-B3E5-4B6D-B572-2A68B764F91E},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77351592,-88.17664781
132,913334400000,P20-T4,Utility,{4D7BEFA1-2241-4A3E-B91B-DAD0CAD9514C},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77300418,-88.17854211
133,913334400000,P20-T3,Utility,{C5D477B9-89A4-4B48-ADC3-B4033D33A967},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77344574,-88.17777315
134,913334400000,P16-T1,Utility,{0AA9DF7D-4238-40DF-871C-214C4F0B99CF},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77452144,-88.17615403
135,913334400000,P16-T4,Utility,{B6DAADFB-72D8-4667-BD4C-13ADBD5757C7},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77437574,-88.17849264
136,913334400000,P16-T6,Utility,{0A04F917-3A42-4384-B84C-D71D67291E5B},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77420689,-88.18120024
137,913334400000,P16-T5,Utility,{AE37333C-7A2F-4BC2-8B52-8F4AD3A5F513},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77428429,-88.17995749
138,913334400000,P16-T2,Utility,{1C526CB5-CAEC-4CD9-8501-1AC28494208E},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77447932,-88.17682966
139,913334400000,P16-T3,Utility,{D4739D9D-5119-4256-9234-371B398A9F2A},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77443036,-88.17761563
140,913334400000,P28-T1,Utility,{63C2EB1D-58F1-409C-B98C-33F2978D8E2F},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77873316,-88.17935273
141,913334400000,P27-T1,Utility,{32642561-0A9A-439E-86F8-EDC21093BFFF},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77871483,-88.18003799
142,913334400000,P7-T4,Utility,{37AFD390-3809-40F2-A837-568C43B1C2A1},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77777787,-88.18132904
143,913334400000,P7-T3,Utility,{F0FF397B-E907-4D83-AD93-252B6B84C5FB},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77758997,-88.18053929
144,913334400000,P7-T2,Utility,{C89D8BAD-6F67-4DA7-8654-928EC01C1ABE},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77764925,-88.1795874
145,913334400000,P7-T1,Utility,{5F08BA64-7DEE-493E-977A-7179AF22AD42},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77790775,-88.17818715
146,913334400000,P29-T1,Utility,{5B8E1165-FAE2-49B6-AEC9-1A87869ED137},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77875231,-88.17863869
147,913334400000,P13-T1,Utility,{CB0A8B35-85BB-4913-B84F-445F0F35697C},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77576877,-88.17633285
148,913334400000,P13-T2,Utility,{B53F0710-65B2-4270-9B2A-2021CC2BDD9C},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77646418,-88.17695423
149,913334400000,P19-T1-1,Utility,{24D7EEBC-C718-466F-B99D-55486EB8B81E},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77313091,-88.17584602
150,913334400000,SC1-T1,Utility,{9A50CDD5-8214-4D24-97F7-C14E26A7068E},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77789185,-88.17656282
151,913334400000,P8-T4-2,Utility,{7768A015-1FB4-43A4-922E-4CDF4A84CD35},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77539261,-88.18037188
152,913334400000,P13-T3-1,Utility,{70342475-081F-4932-BE70-4AE9D1701CD8},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77555067,-88.17753053
153,913334400000,P26-T1,Utility,{C10055C2-0746-4836-8761-406A20F8960E},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77869584,-88.18074932
154,913334400000,P8-T4,Utility,{663F8E24-6937-48CE-B713-CB2284ABF74C},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77583733,-88.18158416
155,913334400000,T1,Utility,{C5E55053-1E22-4469-BA88-AF7086C0F7D5},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.7678277,-88.17998525
156,913334400000,T2,Utility,{1CA5FE08-F5D9-42AC-A62C-F9DCF8B6EF33},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.76779277,-88.1811715
157,913334400000,T1-1,Utility,{7431524F-8408-4D65-94B8-1A28128B9ED4},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.76705575,-88.1791009
158,913334400000,T2-1,Utility,{1F1AB46E-5804-41D7-BE08-30EE505DB63A},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.76687279,-88.18054475
159,913334400000,T1-1-1,Utility,{595B3748-CAFF-417A-A17E-9543C5AC93BE},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.76897583,-88.18074416
160,913334400000,T1-1,Utility,{BDDE2202-4CAD-4EB3-913A-080CA59C42C2},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.76965094,-88.1801677
161,913334400000,T1-2,Utility,{02CC8518-C5A4-4F25-8CE3-EAE60F6E1AE0},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.76912909,-88.17920177
162,913334400000,P15-T1,Utility,{2C1FC2F5-EB15-4E53-8582-4A300A4604C4},Electric,Electric,Field Service,Asset Mgmt.,Pads,41.77554314,-88.17491065
