OBJECTID,FacilityID,FeederID,OperatingV,Installati,RatedKVA,OWNER,OPERATINGC,CONSTRUC_1,GlobalID,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
18,358,RMT001,150,116467200000,25,Utility,Distribution,Overhead,{99C65D43-DE18-420F-BDCA-4CD1D998B790},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78121158,41.78121158
19,359,RMT001,150,121910400000,25,Utility,Distribution,Overhead,{4D149B84-B505-4057-9647-B3022D0B2BBC},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78209867,41.78209867
20,360,RMT001,150,121910400000,25,Utility,Distribution,Overhead,{0DE81EAD-4CAD-4FAD-A444-07B458D228C2},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78264784,41.78264784
21,361,RMT001,150,121910400000,25,Utility,Distribution,Overhead,{DB3FC3AF-3BA6-473B-A1B6-A38A440E8BD9},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78319782,41.78319782
22,362,RMT001,150,121910400000,25,Utility,Distribution,Overhead,{D91265A8-7228-4160-8728-8113D17475A9},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78347338,41.78347338
23,363,RMT001,150,121910400000,25,Utility,Distribution,Overhead,{B8DB01C8-0DC8-4353-AB3A-2A4DCC98E0E9},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78439716,41.78439716
24,364,RMT001,150,121910400000,25,Utility,Distribution,Overhead,{BABC56E3-5172-45DB-A181-D77C18F81E8E},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78533123,41.78533123
25,365,RMT001,150,121910400000,25,Utility,Distribution,Overhead,{AEBCBFF4-6B85-4360-B6D7-6D76C386B668},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78124781,41.78124781
26,366,RMT001,150,129081600000,75,Utility,Distribution,Overhead,{9F1CAFA1-9D64-4EDE-A339-B9D12062F97B},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78498952,41.78498952
27,367,RMT001,150,129081600000,75,Utility,Distribution,Overhead,{A0C5E093-06DA-4296-80D9-FC667A562D1D},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78521902,41.78521902
28,368,RMT001,150,129081600000,75,Utility,Distribution,Overhead,{0906552A-7269-4471-9BB7-FA2AFBD4D750},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.7829637,41.7829637
29,369,RMT001,150,129081600000,75,Utility,Distribution,Overhead,{4E8C67DB-D023-4B82-A5A6-B5DDABA2270D},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78162181,41.78162181
30,370,RMT001,150,129081600000,75,Utility,Distribution,Overhead,{607A4DF0-1850-49CE-BCB0-9CCF4E10A809},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78142876,41.78142876
31,371,RMT001,150,116467200000,25,Utility,Distribution,Overhead,{4E9AC96D-3D1C-421B-8E08-0CF9C3658841},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78219109,41.78219109
32,372,RMT001,150,116467200000,25,Utility,Distribution,Overhead,{E955E03E-2751-42F8-AAD4-C6B881E9FD3F},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78279315,41.78279315
33,373,RMT001,150,116467200000,25,Utility,Distribution,Overhead,{450D522F-2F5C-4AF6-988F-B5FB50B8BAFD},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78340889,41.78340889
34,374,RMT001,150,116467200000,25,Utility,Distribution,Overhead,{5B1A0B63-DE7E-4437-9463-E1D5DE392AD1},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78415635,41.78415635
35,375,RMT001,150,116467200000,25,Utility,Distribution,Overhead,{C94D3FFB-8F33-4933-8C4D-55B541BAF62F},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78506341,41.78506341
36,376,RMT001,150,116467200000,25,Utility,Distribution,Overhead,{87396581-44D3-4FAF-A4F9-544EF87745B0},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78085028,41.78085028
37,377,RMT001,150,116467200000,25,Utility,Distribution,Overhead,{8989507E-422C-41EF-B2AD-E7060D46FB89},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78187424,41.78187424
38,378,RMT001,150,73958400000,25,Utility,Distribution,Overhead,{73501144-36DB-4EEE-AAFF-A62338F79515},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79061625,41.79061625
39,379,RMT001,150,363398400000,25,Utility,Distribution,Overhead,{3A609854-D85B-4206-B201-1BC85B678E9F},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78889587,41.78889587
40,380,RMT001,150,76723200000,25,Utility,Distribution,Overhead,{D0ED780E-2E3F-4B87-B88C-FA8BC0C1AA8E},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78841669,41.78841669
41,381,RMT001,150,76723200000,25,Utility,Distribution,Overhead,{B6B9D555-00C7-4A45-AA9D-1B8C0ED8F3AF},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78780514,41.78780514
42,382,RMT001,150,76723200000,25,Utility,Distribution,Overhead,{BC571E04-ECB6-40A0-B3CF-BC5149A5964B},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78967997,41.78967997
43,383,RMT001,150,76723200000,25,Utility,Distribution,Overhead,{069E4F8B-C1B5-4A8A-A500-610DDB7A13B7},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79067786,41.79067786
44,384,RMT001,150,76723200000,25,Utility,Distribution,Overhead,{9AB87D51-704E-4858-9498-2902262E9215},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79122999,41.79122999
45,385,RMT001,150,76723200000,25,Utility,Distribution,Overhead,{8B475BA4-1C66-42E9-9A56-3245BC421FB0},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79236763,41.79236763
46,386,RMT001,150,76723200000,25,Utility,Distribution,Overhead,{78AD6999-8CB7-42A3-B09D-50C7F4521744},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79340995,41.79340995
47,387,RMT001,150,76723200000,25,Utility,Distribution,Overhead,{6A429416-18EF-4F86-ABBF-FD4141F1D1C2},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79150886,41.79150886
48,388,RMT001,150,76723200000,25,Utility,Distribution,Overhead,{1FBE70A3-927A-46AF-9274-326A0EBECD08},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78909269,41.78909269
49,389,RMT001,150,79401600000,25,Utility,Distribution,Overhead,{005F0FE3-9561-4456-B401-BAE9E5FC767F},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78858398,41.78858398
50,390,RMT001,150,79401600000,25,Utility,Distribution,Overhead,{1D910D01-9DA8-428A-BEC1-90C3609149A2},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78912727,41.78912727
51,391,RMT001,150,79401600000,25,Utility,Distribution,Overhead,{C9320B28-3571-496F-AB06-114C5A239420},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78997663,41.78997663
52,392,RMT001,150,79401600000,25,Utility,Distribution,Overhead,{B859D360-334A-4E5F-8A75-46C172308E60},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79067529,41.79067529
53,393,RMT001,150,79401600000,25,Utility,Distribution,Overhead,{ABCC1CF5-9233-48A7-BFCC-AAE251D97B1B},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79153981,41.79153981
54,394,RMT001,150,79401600000,25,Utility,Distribution,Overhead,{A42F5E6B-183E-47AC-B493-C294CCEF8F88},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79126277,41.79126277
55,395,RMT001,150,79401600000,25,Utility,Distribution,Overhead,{546F1AF9-3E79-4FDD-BE4C-DB654F95B1DA},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79322974,41.79322974
56,396,RMT001,150,79401600000,25,Utility,Distribution,Overhead,{B4CF9865-2D68-40CA-8EC9-C13195353302},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79286206,41.79286206
57,397,RMT001,150,79401600000,25,Utility,Distribution,Overhead,{902CD75D-80D4-4E09-8C11-9CE56D8B237F},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78677394,41.78677394
58,398,RMT001,150,79401600000,25,Utility,Distribution,Overhead,{4AF56192-502D-4100-9E8F-F14631BF6CB7},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.7858318,41.7858318
59,399,RMT001,150,79401600000,25,Utility,Distribution,Overhead,{C9D2EE61-56BA-4E29-A10E-AC4B3D1D26ED},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78706769,41.78706769
60,400,RMT001,150,79401600000,25,Utility,Distribution,Overhead,{47146682-6002-4AB1-AE15-37B69E98FE54},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78788027,41.78788027
61,401,RMT001,150,82166400000,25,Utility,Distribution,Overhead,{BDA115AF-F4A8-4989-B166-66B1A4D8E1FE},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78930155,41.78930155
62,402,RMT001,150,82166400000,25,Utility,Distribution,Overhead,{F402C9B5-97CA-4E90-8303-71C7A5424E5E},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78902836,41.78902836
63,403,RMT001,150,82166400000,25,Utility,Distribution,Overhead,{B464B645-23B0-42FF-B8F7-D772D676A755},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78790994,41.78790994
64,404,RMT001,150,82166400000,25,Utility,Distribution,Overhead,{35829C7E-64C8-4E00-AAD7-5BDB6B8BFA53},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78763733,41.78763733
65,405,RMT001,150,82166400000,25,Utility,Distribution,Overhead,{D0AD9E41-68A7-4EE1-89D9-08455A745342},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78709309,41.78709309
66,406,RMT001,150,82166400000,25,Utility,Distribution,Overhead,{251EDEA1-23C0-4971-A25F-9F65E4135212},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78656845,41.78656845
67,407,RMT001,150,82166400000,25,Utility,Distribution,Overhead,{A51E942A-12AC-4129-AC62-3E43B457DF09},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78590666,41.78590666
68,408,RMT001,150,82166400000,25,Utility,Distribution,Overhead,{6DC4C706-ECEC-4414-A678-3360F0403BDE},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78961246,41.78961246
69,409,RMT001,150,82166400000,25,Utility,Distribution,Overhead,{FED4C4CE-120B-43E8-B243-71B36934B8AA},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.7908568,41.7908568
70,410,RMT001,150,82166400000,25,Utility,Distribution,Overhead,{57CC4A57-6D37-4752-A613-3C7AAE2FE897},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79043051,41.79043051
71,411,RMT001,150,82166400000,25,Utility,Distribution,Overhead,{FC63F0B5-23F2-40CF-A7BD-60F7825B05B6},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79198005,41.79198005
72,412,RMT001,150,82166400000,25,Utility,Distribution,Overhead,{76127F85-15BC-4ECE-B2AB-CED2998E174E},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79115372,41.79115372
73,413,RMT001,150,82166400000,25,Utility,Distribution,Overhead,{8E5E6E1C-8035-48E6-9668-D291838BE27B},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79363369,41.79363369
74,414,RMT001,150,82166400000,25,Utility,Distribution,Overhead,{02E9683D-329F-4B4C-A05A-D3291FD7F304},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79255623,41.79255623
75,415,RMT001,150,73958400000,25,Utility,Distribution,Overhead,{B610E3A2-9E45-4643-B51F-AC3F0F036E55},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78964145,41.78964145
76,416,RMT001,150,73958400000,25,Utility,Distribution,Overhead,{B5350994-1E02-414C-9825-3FF95933B5A3},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.7865814,41.7865814
77,417,RMT001,150,73958400000,25,Utility,Distribution,Overhead,{BED89913-EB67-4BF0-8F2A-13FD90B0B569},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.7899852,41.7899852
78,418,RMT001,150,73958400000,25,Utility,Distribution,Overhead,{A7332E94-DC22-4892-BB49-5E7BF591F569},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78689918,41.78689918
79,419,RMT001,150,73958400000,75,Utility,Distribution,Overhead,{C4F790D1-51AC-42CC-8237-A42D11449D5E},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78931436,41.78931436
80,420,RMT001,150,73958400000,25,Utility,Distribution,Overhead,{6875E5D4-DAD4-4F10-809B-68E6BF1781AD},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79218413,41.79218413
81,421,RMT001,150,116467200000,25,Utility,Distribution,Overhead,{779CD8CE-C0C1-4308-B8A1-25FCA1FCD28A},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78420967,41.78420967
82,422,RMT001,150,116467200000,25,Utility,Distribution,Overhead,{0EB0EC62-1574-4D92-AA90-81F81EA4A9AC},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78256932,41.78256932
83,423,RMT001,150,116467200000,25,Utility,Distribution,Overhead,{E9F8FF81-4DC5-43F7-82F1-EEE3F249596C},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78364877,41.78364877
84,424,RMT001,150,116467200000,25,Utility,Distribution,Overhead,{C41049C2-273F-4FE5-803F-FDFF1104CBEE},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78201955,41.78201955
85,425,RMT001,150,160617600000,25,Utility,Distribution,Overhead,{028AF880-4397-4EAB-BB96-7F343988063B},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79150734,41.79150734
86,426,RMT001,150,163123200000,25,Utility,Distribution,Overhead,{065C9880-FC6C-4C58-90A1-147B99158020},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79020131,41.79020131
87,427,RMT001,150,163123200000,25,Utility,Distribution,Overhead,{10E7F644-E006-49F1-9C43-5A0E196BF9AB},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79075407,41.79075407
88,428,RMT001,150,163123200000,25,Utility,Distribution,Overhead,{74F8E69F-B5E7-4D36-BB47-BB5A39F7FC62},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79141772,41.79141772
89,429,RMT001,150,163123200000,25,Utility,Distribution,Overhead,{0311E62B-5C1A-46FC-B765-15DD162C25F4},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78892867,41.78892867
90,430,RMT001,150,163123200000,25,Utility,Distribution,Overhead,{C76279BB-3504-4A6C-AF2B-293E9E665B3D},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78773929,41.78773929
91,431,RMT001,150,334627200000,25,Utility,Distribution,Overhead,{B8ECC5E1-5AF9-429D-B2DF-4F8558798D32},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.7900899,41.7900899
92,432,RMT001,150,334627200000,25,Utility,Distribution,Overhead,{86E803CA-6F22-4112-A142-052A2B3B07B6},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.7903895,41.7903895
93,433,RMT001,150,334627200000,25,Utility,Distribution,Overhead,{D10914F7-E1CE-4B6E-9503-3FCA2445346E},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79058827,41.79058827
94,434,RMT001,150,134352000000,100,Utility,Distribution,Underground,{36479C29-A64A-4A57-8C41-77F42855D6FE},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79495961,41.79495961
95,435,RMT001,150,134352000000,50,Utility,Distribution,Underground,{6B0BA47C-8792-4A6A-B592-65982F610942},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79598491,41.79598491
96,436,RMT001,150,139795200000,100,Utility,Distribution,Underground,{2FA4C270-935C-4334-9005-985826DF5820},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78469905,41.78469905
97,437,RMT001,150,139795200000,100,Utility,Distribution,Underground,{6BB3106C-B05E-4A76-B419-575B22C77F0C},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78386944,41.78386944
98,438,RMT001,150,139795200000,100,Utility,Distribution,Underground,{83890D30-0590-445C-B873-81C1F44795D8},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78312932,41.78312932
99,439,RMT001,150,139795200000,100,Utility,Distribution,Underground,{340D4C03-DB42-4407-BE38-3441CBC200C4},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.7831227,41.7831227
100,440,RMT001,150,139795200000,100,Utility,Distribution,Underground,{5358E0C7-DD33-4F8C-9E57-2F4C8D2A0DB6},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78240642,41.78240642
101,441,RMT001,150,139795200000,100,Utility,Distribution,Underground,{E92D86BB-3A05-4252-A4B3-805E38CCB3F1},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78301172,41.78301172
102,442,RMT001,150,139795200000,100,Utility,Distribution,Underground,{A74A8DAD-6B9B-429D-A542-1497061A8B41},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78348676,41.78348676
103,443,RMT001,150,139795200000,100,Utility,Distribution,Underground,{F49547FE-093A-4A07-9722-88F1523ECC94},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78381911,41.78381911
104,444,RMT001,150,139795200000,100,Utility,Distribution,Underground,{430AD3A8-A499-429F-BC9D-C2B54D100028},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.7842335,41.7842335
105,445,RMT001,150,139795200000,100,Utility,Distribution,Underground,{93F1122C-6949-486D-9085-80C196476D90},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78481158,41.78481158
106,446,RMT001,150,1388966400000,100,Utility,Distribution,Underground,{909A7844-C14E-4136-8BF8-3E6819E7AE1A},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78487454,41.78487454
107,447,RMT001,150,1388966400000,100,Utility,Distribution,Underground,{6940A953-3CA3-4072-8C6D-04CF11F19702},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78473827,41.78473827
108,449,RMT003,150,965779200000,100,Utility,Distribution,Underground,{A6E627BF-02FE-4C2A-AEEC-2BB70AC2A202},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78613363,41.78613363
109,450,RMT003,150,965779200000,100,Utility,Distribution,Underground,{33E8D5C2-F11F-4C63-A5F4-71B6DA718B45},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78604198,41.78604198
110,451,RMT001,150,965779200000,100,Utility,Distribution,Underground,{62A476CC-368A-479F-9073-03398FB843A0},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78513235,41.78513235
111,452,RMT001,150,925948800000,50,Utility,Distribution,Underground,{F487B9C8-2DC5-4D7B-9A83-9428EEFA1683},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78616275,41.78616275
112,453,RMT001,150,925948800000,100,Utility,Distribution,Underground,{9EA9102F-C402-44B2-8F46-7C3B70AB9FEF},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78565243,41.78565243
113,454,RMT001,150,166147200000,100,Utility,Distribution,Underground,{179095F6-4E82-4C92-A2F3-3B7985392347},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78713246,41.78713246
114,455,RMT001,150,166147200000,100,Utility,Distribution,Underground,{2E65B4A5-BFCF-4CC1-ACE1-848098341D50},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.7877742,41.7877742
115,456,RMT001,150,166147200000,100,Utility,Distribution,Underground,{1579221A-77C2-42E9-9B4F-C232584020AC},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78857233,41.78857233
116,457,RMT001,150,166147200000,50,Utility,Distribution,Underground,{E0ECCAEE-D6A2-4C05-99D7-2A99FCC2F48D},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78832167,41.78832167
117,458,RMT001,150,166147200000,50,Utility,Distribution,Underground,{8E5368EB-F14D-4F6E-A655-14641E34838E},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78832835,41.78832835
118,459,RMT001,150,166147200000,50,Utility,Distribution,Underground,{48E74540-B0B0-40F2-96DB-0691D58F5E12},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78854058,41.78854058
119,460,RMT001,150,166147200000,50,Utility,Distribution,Underground,{A11B13AE-588B-4A40-B62F-2858B53D2C6E},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78850382,41.78850382
120,461,RMT001,150,342662400000,100,Utility,Distribution,Underground,{13184034-4665-44AC-B1DF-6D55B0B6348D},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78967167,41.78967167
121,462,RMT001,150,490406400000,100,Utility,Distribution,Underground,{CFABF35E-26E9-49CE-8837-3BC3DDAC419E},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79083801,41.79083801
122,463,RMT001,150,490406400000,100,Utility,Distribution,Underground,{BD8DD88D-11B3-4567-B94F-9581E98C43AC},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79067234,41.79067234
123,464,RMT001,150,342662400000,100,Utility,Distribution,Underground,{61688134-8305-4C2E-8C78-00D8FA0DCAE5},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.7897746,41.7897746
124,465,RMT001,150,134352000000,50,Utility,Distribution,Underground,{F3865B9D-4634-493D-B521-1E6762248643},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79512502,41.79512502
125,466,RMT001,150,134352000000,50,Utility,Distribution,Underground,{638E5210-5E54-43F1-8EF9-1D7CBA9B4D41},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.79563008,41.79563008
126,467,RMT001,150,139795200000,100,Utility,Distribution,Underground,{8253AFDA-FF29-47E5-8A7C-B0E056AAF448},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78396795,41.78396795
127,468,RMT001,150,139795200000,100,Utility,Distribution,Underground,{F04CBC6F-8D14-4EFB-B138-62BF59C677CD},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78167386,41.78167386
128,469,RMT001,150,139795200000,100,Utility,Distribution,Underground,{164BF815-4765-47D5-A689-53A74C97F21B},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78106729,41.78106729
129,470,RMT001,150,139795200000,100,Utility,Distribution,Underground,{06438A65-3464-485E-90DF-931ABB26BFC1},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78131642,41.78131642
130,471,RMT001,150,139795200000,100,Utility,Distribution,Underground,{E386399A-045F-4B42-A091-8CEEB13197DB},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78176052,41.78176052
131,472,RMT001,150,139795200000,100,Utility,Distribution,Underground,{3E791649-06EC-4C96-BD1B-7BC8C6E8DDF6},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78233098,41.78233098
132,473,RMT001,150,139795200000,100,Utility,Distribution,Underground,{E51EBB89-082D-45EC-B998-3B8D27D66C6D},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78221933,41.78221933
133,474,RMT001,150,139795200000,100,Utility,Distribution,Underground,{704060E1-F4E6-48FA-931E-2349D3A80141},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78239236,41.78239236
134,475,RMT001,150,139795200000,100,Utility,Distribution,Underground,{0AA63B15-7B78-4CB3-88C3-E42BBAB3E5BE},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78239222,41.78239222
135,476,RMT001,150,139795200000,100,Utility,Distribution,Underground,{E07B0ACA-EFF0-4703-A3A5-4979B2C44BAB},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78221291,41.78221291
136,477,RMT001,150,139795200000,100,Utility,Distribution,Underground,{9F98BA4B-5B59-4FDE-BDF5-A46C869A7333},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.78239124,41.78239124
137,478,RMT001,150,139795200000,100,Utility,Distribution,Underground,{81D875C3-C269-451A-9E28-24EFE57F7DF3},Electric,Electric,Field Service,Asset Mgmt.,Transformers,41.7817132,41.7817132
