OBJECTID,FacilityID,MeasuredLe,FeederID,NominalVol,OperatingV,ConductorT,BackfillMa,CableCount,InConduitI,OWNER,OPERATINGC,Shape_Length,Category,Department,Division,Subdivision,AssetType,Latitude,Longitude
23,PUG-23,46.30688637,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,18.918504279994416,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78851944,-88.15661775
24,PUG-24,243.86001063,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,99.60863294192788,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78989759,-88.15413745
25,PUG-25,174.30041819,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,71.22334982837788,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.79063696,-88.15481241
26,PUG-26,332.65234604,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,136.03677151279075,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7907954,-88.15490038
27,PUG-27,119.6557217,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,48.85707537324997,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.79495286,-88.15702793
28,PUG-28,63.45092534,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,25.99179117966347,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.79503867,-88.15721559
29,PUG-29,184.04234259,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,75.41460476891251,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.79537755,-88.15721244
30,PUG-30,129.33295556,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,52.996682891559985,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7958075,-88.15720568
31,PUG-31,391.13703733,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,159.88356593059063,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78140068,-88.1647212
32,PUG-32,427.62993818,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,174.79325466815314,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78246531,-88.16424339
33,PUG-33,386.62222889,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,157.99680880134326,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78167091,-88.16471171
34,PUG-34,403.9466493,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,165.46884612953585,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78285202,-88.16014994
35,PUG-35,367.65676122,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,150.28383593613802,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78326074,-88.1619223
36,PUG-36,505.96491448,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,206.98565982720908,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78239153,-88.16057853
37,PUG-37,465.89442391,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,190.69920247109266,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78176266,-88.16351957
38,PUG-38,414.95677016,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,169.67442319796103,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78358405,-88.16104873
39,PUG-39,219.07118135,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,89.46203085843342,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78242752,-88.16248468
40,PUG-40,345.75550878,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,141.2505140924628,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78114639,-88.16369797
41,PUG-41,280.42685596,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,114.815725672936,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78200232,-88.16526756
42,PUG-42,192.24855125,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,78.54737423497168,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78234187,-88.16367585
43,PUG-43,341.82712115,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,139.7419018884828,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78194276,-88.16214546
44,PUG-44,213.4585879,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,87.18362207059577,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7817755,-88.16132113
45,PUG-45,432.62308443,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,176.8197808069274,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7820605,-88.16173137
46,PUG-46,330.2715918,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,135.03507734598656,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78196446,-88.16049546
47,PUG-47,254.6597629,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,104.21336146168659,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78367002,-88.16056043
48,PUG-48,372.42911336,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,152.36909102730152,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78270029,-88.16256068
49,PUG-49,4.07918981,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,1.6712008643965512,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78605603,-88.15874942
50,PUG-50,6.26818626,RMT003,150,150,OPN,SOIL,3,N,Utility,Distribution,2.5680656129385957,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78606098,-88.15882049
51,PUG-51,6.27970902,RMT003,150,150,OPN,SOIL,3,N,Utility,Distribution,2.57282859384565,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78610844,-88.15878293
52,PUG-52,216.25955995,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,88.40842850391869,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78596785,-88.15846264
53,PUG-53,153.71554669,RMT003,150,150,OPN,SOIL,3,N,Utility,Distribution,62.80200767581386,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78608588,-88.15859115
54,PUG-54,105.00558859,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,43.0193613670645,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78582909,-88.15341204
55,PUG-55,51.3025104,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,21.014698402046754,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78611481,-88.15345205
56,PUG-56,6.13377639,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,2.513101435183919,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78598115,-88.15339877
57,PUG-57,7.63958975,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,3.1300496368893476,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7860345,-88.15345597
58,PUG-58,40.62507646,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,16.5831868202273,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78297254,-88.17104613
59,PUG-59,14.90866065,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,6.0994731446460415,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78297953,-88.1709893
60,PUG-60,97.38537924,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,39.88102936351362,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78312167,-88.17106575
61,PUG-61,574.70139764,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,235.06764649928056,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7838386,-88.17182332
62,PUG-62,19.4635059,RMT001,150,150,OPN,SOIL,1,N,Utility,Distribution,7.974711072877976,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78945503,-88.14342461
63,PUG-63,402.93289765,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,164.71748685267147,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78820528,-88.14474718
64,PUG-64,515.13631232,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,210.47827806298164,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78947959,-88.15590566
65,PUG-65,211.12456902,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,86.29777491091161,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78948482,-88.15498717
66,PUG-66,339.67021417,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,138.89012081099338,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78924014,-88.15620461
67,PUG-67,391.8489736,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,160.38925542062958,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7928173,-88.15611551
68,PUG-68,163.26563178,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,66.81815659076798,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78706349,-88.15196174
69,PUG-69,205.66231315,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,84.16358207497433,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78711806,-88.15223756
70,PUG-70,257.99304203,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,105.35744060794153,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78729854,-88.15365857
71,PUG-71,174.76538531,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,71.38540440730388,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78736624,-88.15261906
72,PUG-72,140.42926881,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,57.39997160717812,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78733918,-88.15299914
73,PUG-73,332.56865709,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,135.8908390855568,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78800863,-88.15329921
74,PUG-74,130.12206901,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,53.12145114521651,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78788078,-88.15259184
75,PUG-75,186.32747193,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,76.34118947332246,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78759135,-88.15234477
76,PUG-76,371.37946365,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,151.73268282238527,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.79305665,-88.15510814
77,PUG-77,435.24643906,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,177.89531795473604,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.79209776,-88.15572686
78,PUG-78,7.26436387,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,2.976321452202608,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78601473,-88.15339809
79,PUG-79,325.88716471,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,133.14214269967,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78599805,-88.15292121
80,PUG-80,176.41008598,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,72.00764037343171,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78634832,-88.15216204
81,PUG-81,94.92011774,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,38.889685342859735,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78622615,-88.15248848
82,PUG-82,60.80450884,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,24.877793692609274,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.79277738,-88.15462935
83,PUG-83,452.45323249,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,184.71984128664695,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78711474,-88.15554692
84,PUG-84,27.49078963,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,11.221842797316505,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78712857,-88.15474197
85,PUG-85,18.57010607,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,7.580164296635397,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78777305,-88.15469836
86,PUG-86,12.71995581,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,5.211089731379693,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78238898,-88.16533535
87,PUG-87,12.83709067,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,5.240146098099575,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78239549,-88.16288992
88,PUG-88,5.29048455,RMT003,150,150,OPN,SOIL,3,N,Utility,Distribution,2.167595394927426,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78607684,-88.15882089
89,PUG-89,5.79020718,RMT003,150,150,OPN,SOIL,3,N,Utility,Distribution,2.372326511523623,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78607386,-88.15874909
90,PUG-90,6.24679471,RMT003,150,150,OPN,SOIL,3,N,Utility,Distribution,2.5594154165849687,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78609126,-88.15878382
91,PUG-91,7.07296575,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,2.8977936398100668,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78601432,-88.15345537
92,PUG-92,7.46537152,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,3.0585471878335864,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78603494,-88.15339827
93,PUG-93,5.53803072,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,2.2689522562250586,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78599717,-88.15339834
94,PUG-94,270.56327741,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,110.52238707696961,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78488735,-88.15897347
95,PUG-95,12.7935775,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,5.240579792372186,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78802709,-88.14527776
96,PUG-96,12.64121849,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,5.161362175412949,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78995903,-88.15457839
97,PUG-97,12.58483089,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,5.137460795996073,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78941408,-88.15462219
98,PUG-98,12.98768125,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,5.320835167588116,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78575203,-88.15809934
99,PUG-99,12.0626694,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,4.942042778458374,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78579026,-88.15829325
100,PUG-100,12.20348069,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,4.999765243476373,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78576529,-88.15947201
101,PUG-101,12.61193438,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,5.166857835051386,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78566641,-88.16082825
102,PUG-102,12.24368172,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,5.000122745772281,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.79492855,-88.15679151
103,PUG-103,10.03490356,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,4.096193601586151,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78565509,-88.15169134
104,PUG-104,15.89756065,RMT001,150,150,OPN,SOIL,1,N,Utility,Distribution,6.492310537703302,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78600178,-88.15165982
105,PUG-105,12.23971488,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,5.000103604245062,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.79104879,-88.15459391
106,PUG-106,12.2426932,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,4.999982685653319,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7905262,-88.15460055
107,PUG-107,8.74298355,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,3.569167927223541,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7877699,-88.15464854
108,PUG-108,12.21589918,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,4.9999289602746915,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7883322,-88.15462558
109,PUG-109,12.24921764,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,4.999968102323608,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.78712456,-88.15466938
110,PUG-110,731.62943845,RMT001,150,150,OPN,SOIL,3,N,Utility,Distribution,299.15556773578834,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7843989,-88.16227732
111,PUG-111,532.65432022,RMT002,150,150,OPN,SOIL,1,N,Utility,Distribution,217.90411583747252,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77494368,-88.1683873
112,PUG-112,405.21405376,RMT002,150,150,OPN,SOIL,1,N,Utility,Distribution,165.69078545210783,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77601226,-88.169042
113,PUG-113,332.59897952,RMT002,150,150,OPN,SOIL,1,N,Utility,Distribution,136.21873058801924,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77314106,-88.1680332
114,PUG-114,362.97115288,RMT002,150,150,OPN,SOIL,1,N,Utility,Distribution,148.5968080338491,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.76854165,-88.17279602
115,PUG-115,158.02255125,RMT002,150,150,OPN,SOIL,1,N,Utility,Distribution,64.72985555326376,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77334741,-88.17586205
116,PUG-116,353.42332965,RMT002,150,150,OPN,SOIL,1,N,Utility,Distribution,144.54387592948373,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77572391,-88.17840296
117,PUG-117,249.94890712,RMT002,150,150,OPN,SOIL,1,N,Utility,Distribution,102.25164468571298,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77569355,-88.18034587
118,PUG-118,430.11850673,RMT002,150,150,OPN,SOIL,1,N,Utility,Distribution,175.57957598175764,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77586981,-88.1808163
119,PUG-119,457.15954726,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,186.79850837238658,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.76951511,-88.17945779
120,PUG-120,291.9691589,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,119.46214441387569,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.76931338,-88.18045593
121,PUG-121,324.70922782,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,132.5054724658821,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.76779537,-88.18057732
122,PUG-122,152.52683717,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,62.462888948154394,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.76711928,-88.18273904
123,PUG-123,240.00860588,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,98.28768578707769,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.76659292,-88.18258644
124,PUG-124,430.40295692,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,175.98378812986292,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77004659,-88.18074267
125,PUG-125,14.10749018,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,5.767861164958049,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77126263,-88.17890583
126,PUG-126,418.83885091,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,171.44970222078226,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7716208,-88.16924231
127,PUG-127,438.10466054,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,179.44590897030255,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.76965246,-88.17034237
128,PUG-128,1.40390306,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,0.5745003127528129,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7704531,-88.18124659
129,PUG-129,1.39971874,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,0.5727690286623801,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77045218,-88.18123852
130,PUG-130,1.34710287,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,0.5511908741220846,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.7704563,-88.18124926
131,PUG-131,1.25399057,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,0.5131814193976876,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77044901,-88.18123612
132,PUG-132,6.13288378,RMT002,380,380,OPN,SOIL,3,N,Utility,Distribution,2.511737458889899,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.76947273,-88.18390635
133,PUG-133,5.86711623,RMT002,380,380,OPN,SOIL,3,N,Utility,Distribution,2.4030000334637913,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.76948895,-88.18391013
134,PUG-134,4.85447333,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,1.9880356117878752,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77126292,-88.17897128
135,PUG-135,5.29039948,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,2.1665834151481427,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77127644,-88.17897572
136,PUG-136,4.67649084,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,1.9150607420451988,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77125636,-88.17894111
137,PUG-137,4.4403628,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,1.8126652428058843,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77125203,-88.1789309
138,PUG-138,300.83363932,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,123.13989809075868,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77159454,-88.17052691
139,PUG-139,345.19673692,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,141.3934883556883,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77072391,-88.17045577
140,PUG-140,227.158591,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,92.93266613446835,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77202877,-88.16797971
141,PUG-141,505.91847979,RMT002,380,380,OPN,SOIL,1,N,Utility,Distribution,207.22702954792612,Electric,Electric,Field Service,Asset Mgmt.,Primary (Underground),41.77105511,-88.16792974
