OBJECTID,MeasuredLe,NominalVol,OperatingV,FeederID,ConductorC,ServiceInd,OWNER,OPERATINGC,Shape_Length,FacilityID,Department,Category,Division,Subdivision,AssetType
25,22.37708038,30,160,RMT001,HOR,Y,Utility,Service,9.150359858625638,SOH-25,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
26,78.35970103,30,160,RMT001,HOR,Y,Utility,Service,31.98954059469918,SOH-26,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
27,68.70420364,30,160,RMT001,HOR,Y,Utility,Service,28.065027473953425,SOH-27,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
28,73.63361266,30,160,RMT001,HOR,Y,Utility,Service,30.07351895601298,SOH-28,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
29,66.31511838,30,160,RMT001,HOR,Y,Utility,Service,27.082400719565246,SOH-29,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
30,50.40695458,30,160,RMT001,HOR,Y,Utility,Service,20.57721348766025,SOH-30,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
31,80.09000244,30,160,RMT001,HOR,Y,Utility,Service,32.70598093400967,SOH-31,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
32,48.10393554,30,160,RMT001,HOR,Y,Utility,Service,19.650726518240155,SOH-32,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
33,52.84082513,30,160,RMT001,HOR,Y,Utility,Service,21.57810224494447,SOH-33,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
34,60.05072413,30,160,RMT001,HOR,Y,Utility,Service,24.527347030401287,SOH-34,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
35,64.46674748,30,160,RMT001,HOR,Y,Utility,Service,26.321990868810644,SOH-35,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
36,45.25242084,30,160,RMT001,HOR,Y,Utility,Service,18.481933983930652,SOH-36,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
37,75.25549298,30,160,RMT001,HOR,Y,Utility,Service,30.729754661993635,SOH-37,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
38,61.92974476,30,160,RMT001,HOR,Y,Utility,Service,25.283240836148885,SOH-38,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
39,61.05094327,30,160,RMT001,HOR,Y,Utility,Service,24.92725418881884,SOH-39,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
40,53.21036477,30,160,RMT001,HOR,Y,Utility,Service,21.729496266074303,SOH-40,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
41,29.77371687,30,160,RMT001,HOR,Y,Utility,Service,12.169145058774651,SOH-41,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
42,62.42810912,30,160,RMT001,HOR,Y,Utility,Service,25.484589672706914,SOH-42,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
43,32.30172341,30,160,RMT001,HOR,Y,Utility,Service,13.18933327581774,SOH-43,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
44,77.28923005,30,160,RMT001,HOR,Y,Utility,Service,31.56121330376071,SOH-44,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
45,70.30450867,30,160,RMT001,HOR,Y,Utility,Service,28.700228959951595,SOH-45,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
46,61.15607663,30,160,RMT001,HOR,Y,Utility,Service,24.96794601716077,SOH-46,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
47,61.36961347,30,160,RMT001,HOR,Y,Utility,Service,25.059774276620658,SOH-47,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
48,66.98030324,30,160,RMT001,HOR,Y,Utility,Service,27.355114401607576,SOH-48,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
49,54.21294131,30,160,RMT001,HOR,Y,Utility,Service,22.136802333211797,SOH-49,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
50,36.82249076,30,160,RMT001,HOR,Y,Utility,Service,15.043023375133068,SOH-50,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
51,25.26478604,30,160,RMT001,HOR,Y,Utility,Service,10.320701934461965,SOH-51,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
52,64.24438655,30,160,RMT001,HOR,Y,Utility,Service,26.230275769772515,SOH-52,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
53,48.7956531,30,160,RMT001,HOR,Y,Utility,Service,19.93547943383666,SOH-53,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
54,37.26237508,30,160,RMT001,HOR,Y,Utility,Service,15.217103932477352,SOH-54,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
55,46.24953145,30,160,RMT001,HOR,Y,Utility,Service,18.890147845733903,SOH-55,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
56,61.97830092,30,160,RMT001,HOR,Y,Utility,Service,25.30863981093795,SOH-56,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
57,43.24110692,30,160,RMT001,HOR,Y,Utility,Service,17.66921536509915,SOH-57,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
58,73.89981387,30,160,RMT001,HOR,Y,Utility,Service,30.17926258421186,SOH-58,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
59,75.35676357,30,160,RMT001,HOR,Y,Utility,Service,30.77149672494045,SOH-59,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
60,69.61449151,30,160,RMT001,HOR,Y,Utility,Service,28.41867590998871,SOH-60,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
61,102.431999,30,160,RMT001,HOR,Y,Utility,Service,41.8340407158712,SOH-61,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
62,77.80297487,30,380,RMT001,HOR,Y,Utility,Service,31.827327452991685,SOH-62,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
63,99.12878385,30,160,RMT001,HOR,Y,Utility,Service,40.474617633728954,SOH-63,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
64,94.40350686,30,160,RMT001,HOR,Y,Utility,Service,38.54031039035837,SOH-64,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
65,57.46987606,30,380,RMT001,HOR,Y,Utility,Service,23.537562428690592,SOH-65,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
66,59.67371506,30,380,RMT001,HOR,Y,Utility,Service,24.43323722479832,SOH-66,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
67,38.21536203,30,160,RMT001,HOR,Y,Utility,Service,15.613356824372758,SOH-67,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
68,46.92780092,30,160,RMT001,HOR,Y,Utility,Service,19.161670447247623,SOH-68,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
69,21.52895424,30,160,RMT001,HOR,Y,Utility,Service,8.808506473346695,SOH-69,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
70,52.31624139,30,160,RMT001,HOR,Y,Utility,Service,21.35727496644552,SOH-70,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
71,38.51126151,30,160,RMT001,HOR,Y,Utility,Service,15.734699135496193,SOH-71,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
72,85.804686,30,160,RMT001,HOR,Y,Utility,Service,35.035833572527395,SOH-72,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
73,53.11372154,30,160,RMT001,HOR,Y,Utility,Service,21.686420507704998,SOH-73,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
74,51.51145512,30,160,RMT001,HOR,Y,Utility,Service,21.030425002391972,SOH-74,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
75,46.04968195,30,160,RMT001,HOR,Y,Utility,Service,18.813150266000516,SOH-75,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
76,36.98794505,30,160,RMT001,HOR,Y,Utility,Service,15.109183284016064,SOH-76,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
77,35.50489606,30,160,RMT001,HOR,Y,Utility,Service,14.504163233080764,SOH-77,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
78,42.17205251,30,160,RMT001,HOR,Y,Utility,Service,17.23084271741607,SOH-78,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
79,38.34578329,30,160,RMT001,HOR,Y,Utility,Service,15.671217133569831,SOH-79,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
80,46.83893677,30,160,RMT001,HOR,Y,Utility,Service,19.152157571480426,SOH-80,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
81,38.72553376,30,160,RMT001,HOR,Y,Utility,Service,15.822252333523704,SOH-81,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
82,53.97234366,30,160,RMT001,HOR,Y,Utility,Service,22.08642337552709,SOH-82,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
83,23.19838807,30,160,RMT001,HOR,Y,Utility,Service,9.484152476873911,SOH-83,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
84,49.69709469,30,160,RMT001,HOR,Y,Utility,Service,20.292131262079003,SOH-84,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
85,61.1627993,30,160,RMT001,HOR,Y,Utility,Service,24.990277717408468,SOH-85,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
86,73.8160007,30,160,RMT001,HOR,Y,Utility,Service,30.14413369637853,SOH-86,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
87,69.57685511,30,160,RMT001,HOR,Y,Utility,Service,28.402467757779053,SOH-87,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
88,74.69668215,30,160,RMT001,HOR,Y,Utility,Service,30.506013027938916,SOH-88,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
89,30.6388567,30,160,RMT001,HOR,Y,Utility,Service,12.529737263539287,SOH-89,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
90,37.00825346,30,160,RMT001,HOR,Y,Utility,Service,15.152892595168575,SOH-90,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
91,40.54002553,30,160,RMT001,HOR,Y,Utility,Service,16.549040475651502,SOH-91,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
92,67.93103541,30,160,RMT001,HOR,Y,Utility,Service,27.751989358057074,SOH-92,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
93,53.79435799,30,160,RMT001,HOR,Y,Utility,Service,21.98924402342959,SOH-93,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
94,63.07459436,30,160,RMT001,HOR,Y,Utility,Service,25.75743082130423,SOH-94,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
95,21.82278248,30,160,RMT001,HOR,Y,Utility,Service,8.913584669703791,SOH-95,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
96,57.05406559,30,160,RMT001,HOR,Y,Utility,Service,23.31788309258258,SOH-96,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
97,35.65126318,30,160,RMT001,HOR,Y,Utility,Service,14.586608698038663,SOH-97,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
98,19.13128411,30,160,RMT001,HOR,Y,Utility,Service,7.823479965262511,SOH-98,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
99,70.14100927,30,160,RMT001,HOR,Y,Utility,Service,28.633742173013566,SOH-99,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
100,38.539977,30,160,RMT001,HOR,Y,Utility,Service,15.744661222658781,SOH-100,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
101,69.14686371,30,160,RMT001,HOR,Y,Utility,Service,28.249848319108864,SOH-101,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
102,71.19858726,30,160,RMT001,HOR,Y,Utility,Service,29.075787116116775,SOH-102,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
103,55.91460911,30,160,RMT001,HOR,Y,Utility,Service,22.832176659485853,SOH-103,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
104,66.52602006,30,160,RMT001,HOR,Y,Utility,Service,27.201383332568508,SOH-104,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
105,26.59544858,30,160,RMT001,HOR,Y,Utility,Service,10.864344392964247,SOH-105,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
106,40.05938167,30,160,RMT001,HOR,Y,Utility,Service,16.357517539716,SOH-106,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
107,65.805281,30,160,RMT001,HOR,Y,Utility,Service,26.873939697818958,SOH-107,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
108,65.53712838,30,160,RMT001,HOR,Y,Utility,Service,26.767950424460974,SOH-108,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
109,63.03698443,30,160,RMT001,HOR,Y,Utility,Service,25.745731004615745,SOH-109,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
110,54.56376126,30,160,RMT001,HOR,Y,Utility,Service,22.28263247021968,SOH-110,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
111,45.45564355,30,160,RMT001,HOR,Y,Utility,Service,18.557010599965842,SOH-111,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
112,21.14218512,30,160,RMT001,HOR,Y,Utility,Service,8.634036277948267,SOH-112,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
113,73.03561755,30,160,RMT001,HOR,Y,Utility,Service,29.835202717978788,SOH-113,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
114,42.54553934,30,160,RMT001,HOR,Y,Utility,Service,17.379439134096913,SOH-114,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
115,75.38272233,30,160,RMT001,HOR,Y,Utility,Service,30.79749701555002,SOH-115,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
116,62.09957577,30,160,RMT001,HOR,Y,Utility,Service,25.37111287944648,SOH-116,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
117,37.97556481,30,160,RMT001,HOR,Y,Utility,Service,15.511527338767232,SOH-117,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
118,72.76767379,30,160,RMT001,HOR,Y,Utility,Service,29.716093036224883,SOH-118,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
119,83.31044494,30,160,RMT001,HOR,Y,Utility,Service,34.01989832316779,SOH-119,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
120,28.65001403,30,160,RMT001,HOR,Y,Utility,Service,11.708357262657188,SOH-120,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
121,30.30687463,30,160,RMT001,HOR,Y,Utility,Service,12.393560959547337,SOH-121,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
122,46.4008266,30,160,RMT001,HOR,Y,Utility,Service,18.943293808726313,SOH-122,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
123,91.53437293,30,160,RMT001,HOR,Y,Utility,Service,37.391143930745386,SOH-123,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
124,56.36760643,30,160,RMT001,HOR,Y,Utility,Service,23.018673466247357,SOH-124,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
125,75.64668913,30,160,RMT001,HOR,Y,Utility,Service,30.882926581704726,SOH-125,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
126,21.5998096,30,160,RMT001,HOR,Y,Utility,Service,8.849659587455879,SOH-126,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
127,61.81227608,30,160,RMT001,HOR,Y,Utility,Service,25.32746652586692,SOH-127,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
128,50.64786107,30,160,RMT001,HOR,Y,Utility,Service,20.738905030485444,SOH-128,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
129,80.36057683,30,160,RMT001,HOR,Y,Utility,Service,32.86870750997073,SOH-129,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
130,94.36752884,30,160,RMT001,HOR,Y,Utility,Service,38.53913968507143,SOH-130,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
131,46.85523023,30,160,RMT001,HOR,Y,Utility,Service,19.150747090676422,SOH-131,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
132,83.56041303,30,160,RMT001,HOR,Y,Utility,Service,34.110139803149714,SOH-132,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
133,66.58230075,30,160,RMT001,HOR,Y,Utility,Service,27.190068626997103,SOH-133,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
134,44.60957619,30,160,RMT001,HOR,Y,Utility,Service,18.21497330460076,SOH-134,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
135,78.64034074,30,160,RMT001,HOR,Y,Utility,Service,32.121220796486746,SOH-135,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
136,42.65311589,30,160,RMT001,HOR,Y,Utility,Service,17.4167509228249,SOH-136,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
137,52.4156813,30,160,RMT001,HOR,Y,Utility,Service,21.413223957584126,SOH-137,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
138,59.57000488,30,160,RMT001,HOR,Y,Utility,Service,24.31891487328448,SOH-138,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
139,70.54839582,30,160,RMT001,HOR,Y,Utility,Service,28.799340993796882,SOH-139,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
140,47.00565562,30,160,RMT001,HOR,Y,Utility,Service,19.199212600410874,SOH-140,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
141,46.69462397,30,160,RMT001,HOR,Y,Utility,Service,19.071614851217863,SOH-141,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
142,53.18646665,30,160,RMT001,HOR,Y,Utility,Service,21.723910937944833,SOH-142,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
143,56.03506261,30,160,RMT001,HOR,Y,Utility,Service,22.895217063338546,SOH-143,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
144,76.42266847,30,160,RMT001,HOR,Y,Utility,Service,31.21370453572132,SOH-144,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
145,37.20407787,30,160,RMT001,HOR,Y,Utility,Service,15.22863761046724,SOH-145,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
146,78.38766716,30,160,RMT001,HOR,Y,Utility,Service,32.01826178915993,SOH-146,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
147,53.71788163,30,160,RMT001,HOR,Y,Utility,Service,21.93108118773935,SOH-147,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
148,71.3606542,30,160,RMT001,HOR,Y,Utility,Service,29.135699873022446,SOH-148,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
149,50.76863026,30,160,RMT001,HOR,Y,Utility,Service,20.753552161203476,SOH-149,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
150,30.30574868,30,160,RMT001,HOR,Y,Utility,Service,12.38101227081335,SOH-150,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
151,78.73336968,30,160,RMT001,HOR,Y,Utility,Service,32.16277363309928,SOH-151,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
152,43.02804087,30,160,RMT001,HOR,Y,Utility,Service,17.569665659290074,SOH-152,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
153,86.31172605,30,160,RMT001,HOR,Y,Utility,Service,35.25347217246197,SOH-153,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
154,40.42521046,30,160,RMT001,HOR,Y,Utility,Service,16.50570865219658,SOH-154,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
155,18.64858853,30,160,RMT001,HOR,Y,Utility,Service,7.620537345707978,SOH-155,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
156,54.80824719,30,160,RMT001,HOR,Y,Utility,Service,22.40557876184733,SOH-156,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
157,46.24249263,30,160,RMT001,HOR,Y,Utility,Service,18.893611706313084,SOH-157,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
158,63.45472606,30,160,RMT001,HOR,Y,Utility,Service,25.93411561470043,SOH-158,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
159,87.25966595,30,160,RMT001,HOR,Y,Utility,Service,35.63078508836911,SOH-159,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
160,47.11282871,30,160,RMT001,HOR,Y,Utility,Service,19.26065524993989,SOH-160,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
161,59.95171717,30,160,RMT001,HOR,Y,Utility,Service,24.47405906898065,SOH-161,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
162,56.44539127,30,160,RMT001,HOR,Y,Utility,Service,23.062474245731863,SOH-162,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
163,58.79831753,30,160,RMT001,HOR,Y,Utility,Service,24.011021965310043,SOH-163,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
164,55.17125962,30,160,RMT001,HOR,Y,Utility,Service,22.524632152235245,SOH-164,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
165,62.08580306,30,160,RMT001,HOR,Y,Utility,Service,25.365821184991745,SOH-165,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
166,32.58744299,30,160,RMT001,HOR,Y,Utility,Service,13.31225233471515,SOH-166,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
167,23.82591259,30,160,RMT001,HOR,Y,Utility,Service,9.734508616422422,SOH-167,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
168,47.25699452,30,160,RMT001,HOR,Y,Utility,Service,19.300302164696845,SOH-168,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
169,83.22672119,30,160,RMT001,HOR,Y,Utility,Service,33.98290247543953,SOH-169,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
170,78.35173896,30,160,RMT001,HOR,Y,Utility,Service,31.98819641905174,SOH-170,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
171,53.16028576,30,160,RMT001,HOR,Y,Utility,Service,21.708452850121656,SOH-171,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
172,54.95424399,30,160,RMT001,HOR,Y,Utility,Service,22.43961721596741,SOH-172,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
173,54.26548931,30,160,RMT001,HOR,Y,Utility,Service,22.175241108253665,SOH-173,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
174,78.92278158,30,160,RMT001,HOR,Y,Utility,Service,32.219163591582074,SOH-174,Electric,Electric,Field Service,Asset Mgmt.,Secondary (Overhead)
